category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Other,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,e428e500-4d0e-455d-8e78-6005a2ea9fd9
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Teen,Other,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,92ed525e-cc5e-4385-a3ce-59493bc295ba
Picker,Choose difficult age,,,Which child do you want tips for?,Teen,Other,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,381275d7-a012-4f9e-aab9-cde556b8d499
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,d6a59f10-7712-4cae-bbab-053b30e611a5
Picker,Choose difficult age,,,Which child do you want tips for?,Young child,Other,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,b19350c5-b2b2-4517-bee4-77287f32dddf
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,50b6ab8e-a023-410f-af6a-16c88243da58
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,16dd826a-8b6d-4d09-809d-130c24422e25
Picker,Choose difficult age,,,Which child do you want tips for?,Young child,Teen,Other,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,0d8fb9fb-e9d9-42e1-977e-cb4c1eaf0dbf
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Young child,Teen,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,a84b0e87-9202-4d2f-af78-b2af96a7c942
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Young child,Other,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,0f69490b-8b3d-4e04-b796-913fcdc7420f
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,5f692090-f1d7-4aa6-ada8-c1ce44d9f2c0
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,e857b831-0e57-4b12-96ea-ee8c9a998ef4
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,d66b3881-c676-4f43-ab20-923b2a86fe6c
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,f2c8b3f9-be69-40f2-8834-e49967c62370
Content,Extra,Behave,,There are no bad children...only difficult behaviours! All children misbehave but these tips can help.,,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,40759e4d-dac2-4df2-a6df-4620171470cb
Content,Extra,Behave,,Which child do you want tips for?,Baby,Young child,Teen,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,93a49304-f399-47d0-8a83-9fe25d3ffecb
Content,Extra,Behave,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,aafccb54-a9fe-4f1a-a4c0-7596a4138d36
