category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Extra,Development,,Sometimes we feel frustrated with our children because we expect them to behave in ways that they are not yet developmentally ready for.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,b0817733-c1b7-4345-b9e6-2e3524beb5d8
Content,Extra,Development,,Learning about child development means we can have realistic expectations and also to spot any problems with their growth and development.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,060e7a42-380c-4797-8131-28f9b1013865
Content,Extra,Development,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,a559a778-96d3-4273-ba41-d419b7e1993f
Content,Extra,Development,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,121d7a06-f6a0-4c93-9694-79bd9fe37e92
Content,Extra,Development,,All children develop at different rates. Here's a video to help you understand what to expect from your children.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,16050cfd-8700-439b-99d9-0cab3389403a
Content,Extra,Development,,All children develop at different rates. Here's an audio message to help you understand what to expect from your children.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,3b83ade1-122a-4dbd-b983-6bf899f898ac
Content,Extra,Development,,"That's okay! You can always type ""Help"" if you want to learn more about child development. ",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,4341b47c-5d09-472a-8e84-cb1cd4f0a1b2
Content,Extra,Development,,All children develop at different rates. But there are some things that we expect children to be able to do at an age. These are called ‘development’ milestones.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,f16bb208-0d5a-4e65-99cb-f00c4c190f89
Content,Extra,Development,,"If you are concerned that your child might be delayed in their development, here is a link to services in your area that may also be helpful: [INSERT LOCAL LINK]

You can also visit UNICEF's website for more helpful information about child development [INSERT LOCAL UNICEF LINK]
Chat to you later!",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,f5676a06-82e5-420b-a784-613ec984d9fb
Content,Extra,Development,,"Many things affect our children's development. For example, development is helped by eating healthy food, having immunisations, and parents or caregivers who talk to them a lot. ",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,7eaf6fb1-2f50-4ba4-9617-597f550dcb29
