category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Redirect,Hi! Have you recently tried redirecting your child's behaviour when they were misbehaving?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,47d858ed-76cf-4673-b653-9388d4053e01
Content,Positive,CheckIn,Redirect,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,6ab559c3-e6a2-49ad-892f-7cb5785356c8
Content,Positive,CheckIn,Redirect,"Well done, great job for remembering. How did your child respond?",Great,Neutral,Bad,I don't know,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,a6669312-d95d-4666-ba82-543667c2a70c
Content,Positive,CheckIn,Redirect,"That's okay. It can be hard sometime to remember. Next time you notice that your child is beginning to get restless, try distracting them. You can try and play a fun game together!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,298de22b-04df-4c4e-9a68-f4c21257ff14
Content,Positive,CheckIn,Redirect,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,1d573142-0dc4-425a-a994-dd38180c7ba8
Content,Positive,CheckIn,Redirect,What did you find difficult when redirecting your child's behaviour?,I can’t seem to distract my child when they are misbehaving.,I am too angry to find anything positive to say to my child after they have misbehaved.,My child is misbehaving all the time.,I did not have the opportunity to redirect my child.,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,164d5e4a-829a-48d7-aa0d-fe8a2958d25c
Content,Positive,CheckIn,Redirect,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,97e7483c-b569-42ea-b1af-71d1ed710f5b
Content,Positive,CheckIn,Redirect,"No problem, try to notice how they respond next time!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,3b36b52e-aa8b-4a4e-9d2c-3ff7dc994e92
Content,Positive,CheckIn,Redirect,"That is great! As you begin to redirect your child's behaviour regularly, you will begin to notice their behaviour improving!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,65944f23-91a0-45e8-bd40-2a2917b6ba40
Content,Positive,CheckIn,Redirect,"It is completely normal to experience this challenge. Remember, it takes some time for your child to get used to you redirecting their behaviour. The more time you spend with them, the better it will go!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,60f3a874-d8d9-4745-bc9a-83192664791f
Content,Positive,CheckIn,Redirect,"Sorry to hear that you are finding this challenging. It happens, just be patient. Make sure to continue trying to redirect your child's behaviour. You will see the benefits soon!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,c026a046-56b3-4269-b42d-51112d2fba1c
Content,Positive,CheckIn,Redirect,"Sorry to hear that you are finding this difficult. Next time try to catch the misbehaviour early on, before it sets in or escalates. You can do this!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,5a2ab13a-1cf1-45fd-a946-e9dd28051bf5
Content,Positive,CheckIn,Redirect,"Sorry to hear that you are finding this difficult. Next time, take a deep breath, take some space, and then pick something very small and concrete that you wish your child could do more of that you can praise in your child. You can do this!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,7ee64f1d-4f32-4f91-91ba-d0a434687ace
Content,Positive,CheckIn,Redirect,"That's okay! The more you pay attention to what your child is doing, the easier it will be to catch the bad behaviour before it gets worse and redirect it to a positive behaviour. If you find that you are too busy or not around your child, you can also teach this skill to other caregivers in your family. It's a group effort!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,79702f32-d13e-44fb-8adf-45695b3bd8c4
Content,Positive,CheckIn,Redirect,Would you like to review the content?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,ad7ab175-ee3d-4a1a-b6ee-39cecf45de51
Content,Positive,CheckIn,Redirect,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,836b1cdf-c2e7-4e7c-a132-5f2ab8e90b33
Content,Positive,CheckIn,Redirect,Sorry to hear that you are finding this difficult. You may need to spend more One-on-One Time with your child and give more positive attention to them when they are behaving well. This takes time so be patient!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,1e861ad6-0526-4f52-ac77-f04e2b09ee2b
Content,Positive,CheckIn,Redirect,"That is okay! Remember you can access parenting content at anytime by typing ""Help"". Chat to you later!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Redirect,da62b3a9-b60b-405d-80ff-0f2f7d1b64fd,37a0e537-fc80-491a-922f-858149e83ed1
