category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Rules,Did you manage to establish ONE rule or daily routine together with your child or teen?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,e7ab73ae-bd82-40b7-9065-36f60eeff2c3
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,a8283106-794c-48e3-9182-dd63a30a0f7f
Content,Positive,CheckIn,Rules,"Great to hear it this! Remember, the more we involve our children in setting rules, the more our children will be likely to follow them!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,5c340f39-f181-406e-8f20-d8464a85e0c3
Content,Positive,CheckIn,Rules,Sorry you did not manage to do this yet. Sit down with your child or teen and try again today - involving your children will make them want to follow the rule more often! ,,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,560586cc-6be8-4c25-a4c6-0ae1c3c07bb4
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,a0135a0e-60df-4b07-bdd0-a7a0207421d8
Content,Positive,CheckIn,Rules,Did you have any challenges when trying to establish a rule or routine together?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,7ee74b91-f1a5-46e5-bce0-b918e8188f4d
Content,Positive,CheckIn,Rules,What was difficult for you about establishing a rule or routine with your child or teen?,My child or teen could not agree on one specific rule or routine,My children felt it was unfair that they have to follow the rule while I don’t have to follow it,I felt uncomfortable because I feel I should be the one establishing the rule not my child or teen,"My partner felt uncomfortable, because they feel they should be the one establishing the rule, not the child or teen",,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,ab57a039-f214-4e2a-83c5-ed0569754133
Content,Positive,CheckIn,Rules,Amazing! Consistent rules and routines help make your child or teen feel secure. They also keep them safe!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,58f18b3f-8611-4a9d-9c1f-28b306ef6d7c
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,cf2de408-e84e-437d-a8b6-b4adf4aeb4cb
Content,Positive,CheckIn,Rules,Would you like to review the content?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,b3d93cbb-19ec-42d3-a3ed-a48fe3581983
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,6c0ffbc1-d3c2-4c6e-9e52-06d6cc7fcf18
Content,Positive,CheckIn,Rules,"It is always important when establishing rules and routines  as a family to consider the age of each child, so you can come up with age-appropriate routines. This is most important for bedtime, time to come home/play, household chores. ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,3286f2f2-7c0a-4fe5-9bcd-32ec2111cdb5
Content,Positive,CheckIn,Rules,"We should always remember that children learn best from us. The more we follow the rules, they more they will follow the rules too. You can adjust the rule to make sure that it is realistic for everyone to follow it, considering their responsibilities (for example school or work activities).",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,0d769ad3-3df7-4cd0-bb4d-54d310b39323
Content,Positive,CheckIn,Rules,"When we establish rules together with our children or teens, that helps the family to understand each other better. The rules will be more realistic and our children will be more willing and able to follow the rule.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,223f00eb-fd14-47c0-96df-b70419006b35
Content,Positive,CheckIn,Rules,"When we establish rules together with our children, that helps the family to understand each other better. The rules will be more realistic and our children will be more willing and able to follow the rule.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,3c4dd7b8-bf03-4d89-9f5b-61cffb5fd97b
Content,Positive,CheckIn,Rules,"That is okay! Remember you can access parenting content at anytime by typing ""Help"". Chat to you later! ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,8f613de2-380d-4d0d-a104-fa4bc9e97233
