category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Help,Entry,,,What do you need help with?,Help with children,Review parenting toolkit,Other support,Emergencies,COVID-19 Info,Technical support,Share with a friend!,,,,PLH - Help - Entry,3aad1291-ad9a-4a18-bb99-d5357e49345b,507cc171-5f38-4995-8d5d-899e8af3b6ef
Help,Entry,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Help - Entry,3aad1291-ad9a-4a18-bb99-d5357e49345b,bc7a18c2-06ff-4622-8c36-14ca352aa308
Help,Children,,,How can we help you with your children?,Activities to do with my child,Managing challenging behaviour,Supporting my child emotionally,Keeping my child safe,Helping with schoolwork,Talking about COVID-19,How to respond to a crisis,Supporting children with disabilities,Information about child development,Go back to the previous options,PLH - Help - Children,6e784a93-6758-4b64-aed1-e8cb65e1d160,8e1930f5-4c77-4f7a-afcf-4920ee7ad8e5
Help,Children,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Children,6e784a93-6758-4b64-aed1-e8cb65e1d160,8a5a97f8-b74f-47e7-b26c-7d8fcf7852df
Help,Children,,,How can we help you keep your children safe?,Online safety,Sexual abuse prevention,Responding to crisis,Go back to the previous options,,,,,,,PLH - Help - Children,6e784a93-6758-4b64-aed1-e8cb65e1d160,1e23fa4f-0f08-45e3-9251-803767569336
Help,Children,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Children,6e784a93-6758-4b64-aed1-e8cb65e1d160,81537bfa-dab0-4841-8f1a-b5cfc73861f0
Help,Stress,,,How can we help you?,Relaxation and stress reduction,Dealing with financial stress,Family relationships,Other services,Go back to the previous options,,,,,,PLH - Help - Stress,1dd44c2b-0338-497b-9ce1-8f0068f36d4e,d714d196-f811-4f90-93bd-33ae037df154
Help,Stress,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Stress,1dd44c2b-0338-497b-9ce1-8f0068f36d4e,101858db-2794-4b00-ae45-8e8b5aef2f4a
Help,COVID referrals,,,##covid referrals##,,,,,,,,,,,PLH - Help - COVID referrals,ac1aaef5-6160-4025-b521-c6f5fc554741,9f923b14-da90-4a6f-836d-58fa65cee81d
Help,Access toolkit,,,"Which parenting topics would you like to revisit?

Type ""back"" if you want to go back to the Help menu.",Skills in toolkit,Incomplete skills,,,,,,,,,PLH - Help - Access toolkit,ddc9840d-140f-494d-bd3e-9617183ba7ee,ab869072-4f23-48d7-b4af-4021e653b28a
