category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Supportive,Covid,,,Hi! Would you like to learn more about how to talk to your children about COVID-19?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Covid,f40a3a39-2ba6-476c-8bd8-ce171420a03d,fa12fb20-bce4-42b8-b7f9-5632e6540a55
Supportive,Covid,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Covid,f40a3a39-2ba6-476c-8bd8-ce171420a03d,edb48871-f717-4a35-96e8-7a8d1ade88ad
Supportive,Covid,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Covid,f40a3a39-2ba6-476c-8bd8-ce171420a03d,2a20ac7b-5932-4465-bf88-337a3fa4fe21
Supportive,Development,,,Hi! Would you like to learn more about your children's development?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Development,65aa909f-7f40-4cd6-ac06-1a381cbcbfdc,61de92dd-0225-4e8c-bf1c-2bf50e230162
Supportive,Development,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Development,65aa909f-7f40-4cd6-ac06-1a381cbcbfdc,b2b79cf4-af1f-4f29-8ebf-3974fbe37a61
Supportive,Development,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Development,65aa909f-7f40-4cd6-ac06-1a381cbcbfdc,c40cb602-a2b7-48b1-af0c-6b4d4b799908
Supportive,Disabilities,,,Hi! Would you like to learn more about how you could support children with disabilities?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Disabilities,94516d4e-02ea-4b8b-9374-9925c917c3df,7d612bde-9f06-42b6-8674-f14f78597625
Supportive,Disabilities,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Disabilities,94516d4e-02ea-4b8b-9374-9925c917c3df,efb800f5-3862-47c9-82ba-2a53ebc1a746
Supportive,Disabilities,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Disabilities,94516d4e-02ea-4b8b-9374-9925c917c3df,51161989-5c5a-4150-93be-76c82d6a7676
Supportive,Family,,,Hi! Would you like to learn more about how to resolve conflicts in the family?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Family,9bf51bff-5bc6-4338-8466-13957ae00188,a86d9f10-85e5-4be2-80a1-7690ca67dcd1
Supportive,Family,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Family,9bf51bff-5bc6-4338-8466-13957ae00188,8c82f03a-d83a-497a-90c7-0b8f7efc269f
Supportive,Family,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Family,9bf51bff-5bc6-4338-8466-13957ae00188,f7cb2d10-86ed-4d1b-8846-e56500c58e06
Supportive,Help reminder,,,Hi! Would you like any support or additional parenting tips?,Yes,No,,,,,,,,,PLH - Supportive - Help reminder,8d48227f-e7a0-4aa6-a29e-d9370ca061e0,ea731456-fd05-4ccd-a9b5-55c2bdb4518d
Supportive,Help reminder,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Help reminder,8d48227f-e7a0-4aa6-a29e-d9370ca061e0,7cfa4bd5-ed3e-44bd-ae27-d1e162c8752c
Supportive,Help reminder,,,"That is okay! Remember you can always access support and parenting tips by typing ""help"". Chat to you later!",,,,,,,,,,,PLH - Supportive - Help reminder,8d48227f-e7a0-4aa6-a29e-d9370ca061e0,6ffec9f5-c51f-462b-9492-61f9cdf69cac
Supportive,Share,,,How did you find out about ParentText?,Friend,UNICEF U-Report,,,,,,,,,PLH - Supportive - Share,8fc0dab6-c0f8-4d6c-bd8d-51944d9505fc,6d8b7901-88f6-4500-b37d-14aaa947156f
Supportive,Share,,,"It can be much more fun doing something with another person than doing it by yourself.  

Would you like to receive a link to this programme that you can share with a friend?",Yes,No,,,,,,,,,PLH - Supportive - Share,8fc0dab6-c0f8-4d6c-bd8d-51944d9505fc,ae8549ca-3208-4b87-9d74-a092f93c825a
Supportive,Share,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Share,8fc0dab6-c0f8-4d6c-bd8d-51944d9505fc,d1546378-1e58-4eaf-8ec0-41d424d9e259
Supportive,Share,,,"That is okay! If would like to access the link at a later time, please type ""Help"".",,,,,,,,,,,PLH - Supportive - Share,8fc0dab6-c0f8-4d6c-bd8d-51944d9505fc,8c9d329b-73ab-4611-a735-954a34c92531
Supportive,Share,Link,,"That is great! Here is the link:
[INSERT LINK]",,,,,,,,,,,PLH - Supportive - Share - Link,a8233166-1c54-4c76-a8fa-9e6fe9be489e,1f9aba5a-882c-42b9-9fe1-0dff39f99c11
Supportive,Activities,,,Hi! Would you like some suggestions for fun or educational activities to do with your children?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Activities,6ce87097-f45a-4fd7-b6c0-b339c9c3625b,ca0a9064-4e5a-4bc3-8d82-b6bf1de271a5
Supportive,Activities,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Activities,6ce87097-f45a-4fd7-b6c0-b339c9c3625b,525a6236-7d01-4610-b777-de21d824d743
Supportive,Activities,,,"That's okay! You can always get suggestions for activities to do by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Activities,6ce87097-f45a-4fd7-b6c0-b339c9c3625b,156e607f-d895-43a0-84a9-06c0944d269a
Supportive,Activities for babies,,,Hi! Would you like some suggestions for fun activities to help develop your baby's brain?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Activities for babies,f11b99bb-15a8-4120-b767-df879ba708d7,26a44fdb-ebbb-4d07-b2ab-f31a1cfb5fe5
Supportive,Activities for babies,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Activities for babies,f11b99bb-15a8-4120-b767-df879ba708d7,c1489dff-48f4-4e10-8625-4c32819628d7
Supportive,Activities for babies,,,"That's okay! You can always get suggestions for activities to develop your baby's brain by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Activities for babies,f11b99bb-15a8-4120-b767-df879ba708d7,239e530e-d124-4f80-8dbb-b1e4cd5412c0
