category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Supportive,Weekly congratulations,,,Congratulations! You have made it through your first week. How time flies! ,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,3b10b40b-3688-4e8f-a03c-d2412aa8a9d4
Supportive,Weekly congratulations,,,Congratulations! You have made it through another week!,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,53225416-50a2-4a4d-b26a-7e59485a08de
Supportive,Weekly congratulations,,,You have added @results.n_skills_week skills to your Parenting Toolkit this week:,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,eacff08c-799f-4482-96b9-861165593bac
Supportive,Weekly congratulations,,,You have added one skill to your Parenting Toolkit this week:,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,2911bdcd-06b0-4175-9d79-fc416f57f720
Supportive,Weekly congratulations,,,You also have made progress on the following skills: ,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,83055c7d-dc35-4a13-9475-b026d3cf829a
Supportive,Weekly congratulations,,,"Type ""Toolkit"" if you want to go back and revisit any of these tips.",,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,232b4011-e159-48cb-bdd9-202ec9b980a9
Supportive,Weekly congratulations,,,How helpful have these messages been in improving your relationship with your child?,Not helpful,A little helpful,Helpful,Very helpful,Extremely helpful,Prefer not to answer,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,c5ed2fdd-d81a-41bf-8018-d69019c0ba02
Supportive,Weekly congratulations,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,155a2079-b69d-469e-97b5-5b6b74c1f704
Supportive,Weekly congratulations,,,Which parenting tip has been the most useful to you?,Activities,Stress reduction,Child behaviour,Other,None of the parenting tips have been helpful,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,e02cde0a-1129-437c-b9b4-f7a0e767a6ed
Supportive,Weekly congratulations,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,3d2e82a4-0993-48e6-b859-5a7fc360c038
Supportive,Weekly congratulations,,,"If you have already noticed some changes in your life or relationship with your children, that's great! 

If you have not noticed any changes, please keep it up. Sometimes these things take time to change.  We know you can do it!",,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,3ca400de-f16f-4032-a454-a11624372340
Supportive,Congratulations for finishing the programme,,,"Congratulations for finishing the ParentText programme! That is a great accomplishment!

Would you like to continue receiving daily messages from us?",Yes,No,,,,,,,,,PLH - Supportive - Congratulations for finishing the programme,6176674e-48e6-4656-a919-4a830eb05055,85123ff1-7c94-486a-a06f-896f60473779
Supportive,Congratulations for finishing the programme,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Congratulations for finishing the programme,6176674e-48e6-4656-a919-4a830eb05055,ded7cc10-b32d-4147-9ad3-2c580ad7a588
Supportive,Congratulations for finishing the programme,,,"Great! If you ever want to stop receiving messages, go to ""Technical Support"" and then select ""User Experience"". Chat to you later!",,,,,,,,,,,PLH - Supportive - Congratulations for finishing the programme,6176674e-48e6-4656-a919-4a830eb05055,11259bc5-dd4a-487d-9d3a-b6506c36d54c
Supportive,Congratulations for finishing the programme,,,"That is okay! You can always revisit the parenting tips by typing ""Help"".",,,,,,,,,,,PLH - Supportive - Congratulations for finishing the programme,6176674e-48e6-4656-a919-4a830eb05055,aa33bc71-0c5f-49a0-8101-102ba788d859
Supportive,Congratulations for finishing the programme,,,"We hope to see you again soon, and we wish you a happy and peaceful day!",,,,,,,,,,,PLH - Supportive - Congratulations for finishing the programme,6176674e-48e6-4656-a919-4a830eb05055,59656aa8-6ec4-4b85-8b8c-594b296949f6
