category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Handler,Activity,,,Who would you like an activity for?,Baby (0-23 months),Young child (2-9 years),Teenager (10-17 years),Adult (18+ years),,,,,,,PLH - Handler - Activity,a962e2fd-b75f-4a46-b930-41658dc89f0a,14d7935a-7df4-4874-965b-78e7a4d41e97
Handler,Activity,,,Sorry I don't understand what you mean.,,,,,,,,,,,PLH - Handler - Activity,a962e2fd-b75f-4a46-b930-41658dc89f0a,56a36ece-d7eb-4ace-a05b-482af471216c
Handler,Activity,,,Would you like to choose another activity?,Yes,No,,,,,,,,,PLH - Handler - Activity,a962e2fd-b75f-4a46-b930-41658dc89f0a,1ce9e1c0-1146-4b88-8de7-8db61536d465
Handler,Activity,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Handler - Activity,a962e2fd-b75f-4a46-b930-41658dc89f0a,6dcff282-48b2-4ac8-a6a5-d9eaa0285f3e
Handler,Activity,,,"That's okay! Here is a great resource from LEGO of more activities that you can do with your children!

https://playlist.legofoundation.com/all-activities/

Chat to you later!",,,,,,,,,,,PLH - Handler - Activity,a962e2fd-b75f-4a46-b930-41658dc89f0a,fe7e7ee2-bfdc-4107-9525-f10a6ad8f21d
Picker,Age group for activity,,,Who would you like an activity for?,baby,teen,adult,other,,,,,,,PLH - Picker - Age group for activity,dd67c25a-91a9-459f-9d37-5dfcb5185ce0,3ecb20c6-79d5-44d0-9ac0-6c410835e2ea
Picker,Age group for activity,,,Who would you like an activity for?,baby,adult,other,,,,,,,,PLH - Picker - Age group for activity,dd67c25a-91a9-459f-9d37-5dfcb5185ce0,6ae272f4-234f-434f-949c-0ff3ec16f90d
Picker,Age group for activity,,,Who would you like an activity for?,teenager,adult,other,,,,,,,,PLH - Picker - Age group for activity,dd67c25a-91a9-459f-9d37-5dfcb5185ce0,d310d8f6-702c-4075-9916-6fa8413c0609
Picker,Age group for activity,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Age group for activity,dd67c25a-91a9-459f-9d37-5dfcb5185ce0,1edc244c-a25d-4fd5-a32b-bf1e6f93aab8
Picker,Age group for activity,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Age group for activity,dd67c25a-91a9-459f-9d37-5dfcb5185ce0,c891ff90-0342-4553-8d79-3ba0eb1cd3f9
Picker,Age group for activity,,,Who would you like an activity for?,young child,adult,other,,,,,,,,PLH - Picker - Age group for activity,dd67c25a-91a9-459f-9d37-5dfcb5185ce0,ccae0d30-5536-4ad0-9f32-6048d98e8657
Picker,Age group for activity,,,Who would you like an activity for?,baby,young child,adult,other,,,,,,,PLH - Picker - Age group for activity,dd67c25a-91a9-459f-9d37-5dfcb5185ce0,b0fb656c-cf6e-4abe-9be8-fb204ac2873a
Picker,Age group for activity,,,Who would you like an activity for?,baby,young child,teenager,adult,,,,,,,PLH - Picker - Age group for activity,dd67c25a-91a9-459f-9d37-5dfcb5185ce0,f4a1f8a9-1056-4ae2-9971-25251b077607
Picker,Age group for activity,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Age group for activity,dd67c25a-91a9-459f-9d37-5dfcb5185ce0,30d53c9d-8fbf-4c7d-9ad1-d9d81b93ac6b
