category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Other,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,3cc6b57f-6d8d-46da-bb0d-6dc964e1f480
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Teen,Other,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,497a01a2-f337-4e6a-bee9-e68a96b00eab
Picker,Choose difficult age,,,Which child do you want tips for?,Teen,Other,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,93b52f90-aa24-4abf-947c-5934ad1f8bbd
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,60aa674a-fb1e-4b0c-a0d2-8864cdb07894
Picker,Choose difficult age,,,Which child do you want tips for?,Young child,Other,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,6577d915-638a-4f79-a202-933e4ec23f07
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,8daf5e06-ee51-4717-893c-46e6d3a58ee7
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,d4850590-95fe-403d-bf29-5ef7a148dd17
Picker,Choose difficult age,,,Which child do you want tips for?,Young child,Teen,Other,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,4e22d7ca-0bd7-483a-9b72-cacb2741dfdf
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Young child,Teen,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,c9f4b022-3d87-4a1a-ba10-68f54435d7b5
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Young child,Other,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,7c2b3f30-c1dc-4a3a-bd52-acadc7ad3f7a
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,cfc83d4e-17d1-41ce-8e65-6f958470881b
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,f79a0fc6-cd68-4c10-8231-dc2bd949617b
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,87904c6a-762d-4406-9fa5-4fed1f46ba29
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,1a674724-f195-4ebd-979b-42030d102069,e649c861-9116-4f26-827e-a4d2d8baa6c1
Content,Extra,Behave,,There are no bad children...only difficult behaviours! All children misbehave but these tips can help,,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,312f55d1-3d25-40c0-96bc-2289fcb23147
Content,Extra,Behave,,Which child do you want tips for?,Baby,Young child,Teen,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,455c685f-4734-4411-9842-f11d71d064fe
Content,Extra,Behave,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,204f1a75-94fd-420b-baeb-2637c89d6018
Content,Extra,Behave,,"Please select the age of your child:
A. Under 1 month
B. 1-2 months
C. 3-5 months
D. 6-9 months
E. 10 -14 months
F. 15-18 months
G. 19-23 months",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,6c911ada-cc8b-4885-956c-5baa5f7fb628
Content,Extra,Behave,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,f35baad1-1375-4f2a-ba6a-80262d24ec82
Content,Extra,Behave,,Which behaviour is most like the one you want support for?,Refuses to obey,Temper tantrums,Disrespectful behaviour,Whining,"Hyperactivity, can’t sit still",Hitting others,Breaking things,Fighting with others,Teasing or bothering others,Does not apply,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,13da4b81-9429-46b5-a77d-b59c0bfddd26
Content,Extra,Behave,,Which behaviour is most like the one you want support for?,Refuses to obey,Gets angry often,"Rudeness, disrespectful behaviour",Irritable or frequent mood changes,Does not follow rules,Stubbornness,Breaking things,Fighting with others,Teasing or bothering others,Does not apply,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,b0d20ba9-64af-466a-84de-3a70fafc0ab8
Content,Extra,Behave,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,bd9eb792-fdee-4a9e-a812-fdf8226f4d9f
Content,Extra,Behave,,Which behaviour is most like the one you want support for?,Crying a lot,Problems sleeping,Clingy,Whining,Bad tempered or moody,Problems eating,Stubborn or fussy,Does not apply,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,5167a593-f452-462d-9862-f0c83b83723f
Content,Extra,Behave,,Which behaviour is most like the one you want support for?,Crying a lot,Problems sleeping,Clingy,Whining,Bad tempered or moody,Problems eating,Stubborn or fussy,Naughty behaviour,Temper tantrums,Does not apply,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,1a63cd09-94c7-4174-9931-50b892a229b9
Content,Extra,Behave,,Which behaviour is most like the one you want support for?,Crying a lot,Problems sleeping,Clingy,Does not apply,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,c881faf0-26fa-46ea-9b95-be2eee2844ce
Content,Extra,Behave,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,d15b3546-49b3-45b1-ac14-158e867ef33b
Content,Extra,Behave,,"Here are 8 simple tips to help you with your teen: 
1. Keep it positive
2. Invest in time
3. Create routines
4. Be open to your children
5. Use reasonable consequences
6. Solve problems with your teen
7. Keeping your teen safe online
8. Resolving crises when they happen
Type ""1"" to ""8"" if you want to learn more about a specific strategy.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,790a58e1-a0b9-4576-b8d3-75d41a7f82f9
Content,Extra,Behave,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,594abbae-96af-40b8-bd45-43ed6655cad0
Content,Extra,Behave,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,28228b34-38ad-453b-a835-2ae0629d37ae
Content,Extra,Behave,,"Here are 5 simple tips to help you with your babies: 
1. Play with your baby
2. Create routines
3. Share books with your baby
4. Cope with crying
5. Redirect them to positive behaviours
Type ""1"" to ""5"" if you want to learn more about a specific strategy.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,9da0a2a1-01c6-45f6-a5fc-a9f68e019b57
Content,Extra,Behave,,"Here are 9 simple tips to help you with your children: 
1. Keep it positive
2. Invest in time
3. Create routines
4. Be open to your children
5. Redirect them to positive behaviours
6. Ignore attention seeking and demanding behaviours
7. Use reasonable consequences
8. Solving problems with your child
9. Keeping your child safe online
Type ""1"" to ""9"" if you want to learn more about a specific strategy.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,c7b6f6fd-8975-4a96-b397-e5cc57da4a83
Content,Extra,Behave,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,4fbd591c-1ba2-4fe3-b102-133e935edfaf
Content,Extra,Behave,,"It can be exhausting when your children have too much energy or can't focus on one thing. Sometimes, your children need opportunities to be very active and run around to help them be calm afterwards. ",,,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,fd2e3e9e-643d-4886-be38-cea757f18469
Content,Extra,Behave,,Would you like suggestions for active and calm things to do with your child?,Yes,No,,,,,,,,,PLH - Content - Extra - Behave,008c4728-e962-4263-a7f4-40d54b639c92,b8c9ee32-2923-43dd-8c0f-f7bb6bbe6d4b
