category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Ignore,Have you been able to ignore your child's tantrums or other negative demanding behaviours? How has it been?,Great,Neutral,Bad,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,ccdb1e2d-9a84-4aab-9712-a5d686e50d39
Content,Positive,CheckIn,Ignore,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,ad3c8b13-17ac-45f6-9772-5db5ab196b03
Content,Positive,CheckIn,Ignore,Well done! Ignoring negative attention seeking and demanding behaviours is not easy. Good for you for giving it a try and being consistent!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,b46228f9-d76d-4b19-9ec4-4a3cade8a301
Content,Positive,CheckIn,Ignore,Sorry you did not manage well. Ignoring our children's whining or tantrums is really hard. Please be patient with yourself.,,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,a2ef7c1b-e7f2-414a-87a7-2a2a556685c2
Content,Positive,CheckIn,Ignore,What was difficult about using ignore?,It was hard to stay calm while ignoring my child's tantrum,I struggled to be consistent and gave into their demands,I am concerned about my child or someone else getting hurt,I am having to ignore my child's behaviour all the time,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,65a3d258-a112-4675-ad1b-9d6bf32d8636
Content,Positive,CheckIn,Ignore,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,036d0c99-90c6-44e1-ad30-ea5616470777
Content,Positive,CheckIn,Ignore,"I know, it can be really difficult to stay calm when our children are whining or having a tantrum. Try to think of something that you can do to help like taking a pause. You can do this!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,db43d7ef-21ff-414b-b1d0-b56a5b94d597
Content,Positive,CheckIn,Ignore,"If you are finding that you are ignoring your child's behaviour a lot, then your child is probably not getting enough positive attention at other times. Try to spend more One-on-One Time with your child!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,1888bb50-2013-463a-b1a4-8981428bbd79
Content,Positive,CheckIn,Ignore,"Sometimes, our children can have very violent tantrums when they do not get their way, especially if they are used to it. Try to move your child to a place where they will not hurt themselves or others. You may need to firmly hold your child while ignoring their behaviour - but only do this if you can remain calm and  make sure you are not hurting them! Eventually, your child will calm down.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,639ebcf9-8b0e-4da4-b57a-16e675ffa620
Content,Positive,CheckIn,Ignore,"I know, it is hard to be consistent! If you ignore a behaviour only some of the time, your child will think it might help them get their way. The more consistent you are, the less they will do it.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,0fdf90bf-9d5c-4be5-8dc8-21012d86b428,5ffcc9aa-b4e5-4e11-90b5-b100297617d3
