category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Feedback,Feedback for content,,,How helpful was this tip?,Not helpful,A little helpful,Helpful,Very helpful,Extremely helpful,Prefer not to answer,,,,,PLH - Feedback - Feedback for content,2d088e4d-2c71-4480-9cac-0403ba3c5461,92c18b96-7255-4c98-b50f-37974947e6f8
Feedback,Feedback for content,,,How helpful was this activity?,Not helpful,A little helpful,Helpful,Very helpful,Extremely helpful,Prefer not to answer,,,,,PLH - Feedback - Feedback for content,2d088e4d-2c71-4480-9cac-0403ba3c5461,47cf9dab-c55f-4e1c-81d5-ef23501d119d
Feedback,Feedback for content,,,Have these relaxation activities helped reduce the stress in your life?,Not helpful,A little helpful,Helpful,Very helpful,Extremely helpful,Prefer not to answer,,,,,PLH - Feedback - Feedback for content,2d088e4d-2c71-4480-9cac-0403ba3c5461,6ff61eb4-9f05-43b7-a3af-ab9a99a41c0a
Feedback,Feedback for content,,,Was this advice helpful?,Not helpful,A little helpful,Helpful,Very helpful,Extremely helpful,Prefer not to answer,,,,,PLH - Feedback - Feedback for content,2d088e4d-2c71-4480-9cac-0403ba3c5461,45dd62f7-f6f1-402c-92ad-67e7f79bec06
Feedback,Feedback for content,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Feedback - Feedback for content,2d088e4d-2c71-4480-9cac-0403ba3c5461,60e0ff3d-55eb-48ba-874e-72202573a78d
Feedback,Feedback for content,,,Thank you for the feedback!,,,,,,,,,,,PLH - Feedback - Feedback for content,2d088e4d-2c71-4480-9cac-0403ba3c5461,c20fddd7-a0d9-4965-bde9-e3a8f1ba40b3
Feedback,Feedback for checkIn,,,"We are glad to hear that. Remember, if you ever have any challenges, you can always type ""Help"" and we will try our best to help you out. Chat to you later!",,,,,,,,,,,PLH - Feedback - Feedback for checkIn,8a461ecd-92c1-408e-bd05-7fc23a0488b6,b9efcf8d-8363-47c5-b39c-ab87c38ec5cd
Feedback,Feedback for checkIn,,,"We are sorry to hear that this has not been helpful. Not all solutions work for everyone. Here are 6 steps that you can use to find a solution by yourself or with someone else:

1. Take a deep breath.
2. Explore the challenge. 
3. Think of possible solutions. 
4. Choose a solution. 
5. Try it out!
6. Reflect on whether it worked.",,,,,,,,,,,PLH - Feedback - Feedback for checkIn,8a461ecd-92c1-408e-bd05-7fc23a0488b6,1fc76678-9585-4c3e-a947-e605486443fc
Feedback,Feedback for checkIn,,,You should also praise yourself for trying. Being a father is not easy. You are a star just for showing up and caring. You can do it!,,,,,,,,,,,PLH - Feedback - Feedback for checkIn,8a461ecd-92c1-408e-bd05-7fc23a0488b6,ae6f915b-f64d-4532-ab02-8573d1a5ec53
Feedback,Feedback for checkIn,,,You should also praise yourself for trying. Being a mother is not easy. You are a star just for showing up and caring. You can do it!,,,,,,,,,,,PLH - Feedback - Feedback for checkIn,8a461ecd-92c1-408e-bd05-7fc23a0488b6,2cb158a8-6d8e-4589-935b-fc944547ebda
Feedback,Feedback for checkIn,,,You should also praise yourself for trying. Parenting is not easy. You are a star just for showing up and caring. You can do it!,,,,,,,,,,,PLH - Feedback - Feedback for checkIn,8a461ecd-92c1-408e-bd05-7fc23a0488b6,9327ed7a-44ea-4a66-a7c2-00f37820a900
Feedback,Feedback for checkIn,,,"Remember, if you ever have any challenges, you can always type ""Help"" and we will try our best to help you out. Chat to you later!",,,,,,,,,,,PLH - Feedback - Feedback for checkIn,8a461ecd-92c1-408e-bd05-7fc23a0488b6,8b9947f6-6150-41d9-9c12-63e37206abf7
