category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Supportive,Covid,,,Hi! Would you like to learn more about how to talk to your children about COVID-19?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Covid,f40a3a39-2ba6-476c-8bd8-ce171420a03d,f376122c-f744-49ea-921c-b36377887438
Supportive,Covid,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Covid,f40a3a39-2ba6-476c-8bd8-ce171420a03d,2399820a-1236-4fde-86ef-d0eb8973ec0b
Supportive,Covid,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Covid,f40a3a39-2ba6-476c-8bd8-ce171420a03d,9bbe2d55-0897-4c3b-9625-2cd3b68bf6f2
Supportive,Development,,,Hi! Would you like to learn more about your children's development?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Development,65aa909f-7f40-4cd6-ac06-1a381cbcbfdc,dee90c15-09ab-4853-b154-4a26400d47fe
Supportive,Development,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Development,65aa909f-7f40-4cd6-ac06-1a381cbcbfdc,b4eb8c3b-0e1c-4f10-ba82-779d190b9e39
Supportive,Development,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Development,65aa909f-7f40-4cd6-ac06-1a381cbcbfdc,2ecefcb3-bb4f-4714-8fc4-957fd83e6961
Supportive,Disabilities,,,Hi! Would you like to learn more about how you could support children with disabilities?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Disabilities,94516d4e-02ea-4b8b-9374-9925c917c3df,8d874833-7237-41ee-8abb-2d69b1829262
Supportive,Disabilities,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Disabilities,94516d4e-02ea-4b8b-9374-9925c917c3df,65e9bc00-e235-4c93-9d15-0ab12b3e9d77
Supportive,Disabilities,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Disabilities,94516d4e-02ea-4b8b-9374-9925c917c3df,af9fbe32-a19b-4fae-8ee6-b468a35dec29
Supportive,Family,,,Hi! Would you like to learn more about how to resolve conflicts in the family?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Family,9bf51bff-5bc6-4338-8466-13957ae00188,3a6cbf77-76ec-4b3c-97f9-bc78ef94b3b7
Supportive,Family,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Family,9bf51bff-5bc6-4338-8466-13957ae00188,be0f9e4e-eee9-432b-bbaf-d83fd4ea9c50
Supportive,Family,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Family,9bf51bff-5bc6-4338-8466-13957ae00188,dfd995c1-fecf-421e-bc9e-ae8aeaa8bf0c
