category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Survey,Behaviour,,,Can we also ask you a few quick questions about your children's behaviour?,Yes,No,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,dcaa2372-baad-488f-a026-f5715a02af81
Survey,Behaviour,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,27425e3b-a80c-4fc2-b326-44a73f7db248
Survey,Behaviour,,,It looks like you are busy right now. Please type “GoBack” to receive the most recent messages again.,,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,d8a6014c-e759-49a3-a64b-0e603ca7631d
Survey,Behaviour,,,Are you a mother/female caregiver of a child living with disabilities?,Yes,No,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,2064856e-4749-41ca-9c84-870fef03dab2
Survey,Behaviour,,,Are you a father/male caregiver of a child living with disabilities?,Yes,No,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,be8ee151-9895-40fe-950f-dd74ff0078bd
Survey,Behaviour,,,It is okay if this is not a good time. We will try again tomorrow. Chat later!,,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,ea363cb8-f550-40a6-a7c4-c8d243c34dab
Survey,Behaviour,,,It is okay if this is not a good time. Chat later!,,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,37adf122-fdd0-45ba-a48b-ea6817cfeba2
Survey,Behaviour,,,Are you a parent/caregiver of a child living with disabilities?,Yes,No,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,f13f4ea3-b3b2-4e57-a041-38789878cf10
Survey,Behaviour,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,729e9938-b37c-4581-b2ac-835f1e60de13
Survey,Behaviour,,,"All children misbehave sometimes. So that we can give you the right information, please tell us the name or nickname of the child who you are having the most difficulties with.",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,54467a98-3c9f-4a6f-919b-cd25e37c7742
Survey,Behaviour,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,b5294b70-85dd-4051-b0a9-90943f24718d
Survey,Behaviour,,,Is @fields.survey_behave_name a boy or girl?,Boy,Girl,Prefer not to say,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,09bc36a0-c59f-46be-bec0-d44a2f991765
Survey,Behaviour,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,2293a78e-32cb-4e8e-b899-0c975e67d84a
Survey,Behaviour,,,How old is @fields.survey_behave_name in years? Please reply with a number between 0 and 17.,,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,96a857c0-369a-4b8d-9be3-aac53ae15c00
Survey,Behaviour,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,422b5318-d8be-4bdc-85a1-548bafc27cb7
Survey,Behaviour,,,This looks too old. ,,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,5cb0e5d6-7d20-404f-9e74-f6e22e8c91f1
Survey,Behaviour,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,346db44e-ec69-49a3-96ec-09e17d369d74
Survey,Behaviour,,,How many months old is @fields.survey_behave_name? Please enter a number between 0 and 23.,,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,0e9f7324-d859-49ac-9bb2-db5779ef8f44
Survey,Behaviour,,,What is your relationship to @fields.survey_behave_name?,Parent,Grandparent,Aunt/Uncle,Foster Parent,Other,Prefer not to say,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,6988d7d3-c060-4ef0-a8f1-f7451e564bf2
Survey,Behaviour,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,9aaf1da5-47d8-4778-a014-23944327b1cb
Survey,Behaviour,,,"All children behave badly sometimes. Here are a list of typical behaviours that can be challenging for parents:

1. Refuse to obey instructions
2. Gets angry a lot
3. Rudeness, disrespectful behaviour
4. Irritable, frequent mood changes
5. Does not follow rules
6. Stubbornness
7. Breaking things
8. Getting into fights
9. Teasing or bothering others

Please type the number that describes the most challenging behaviour for you to manage with @fields.survey_behave_name. You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,7b0d6b55-cfc6-4722-af44-a6dd626f753b
Survey,Behaviour,,,"All children behave badly sometimes. Here are a list of typical behaviours that can be challenging for fathers:

1. Refuse to obey instructions
2. Gets angry a lot
3. Rudeness, disrespectful behaviour
4. Irritable, frequent mood changes
5. Does not follow rules
6. Stubbornness
7. Breaking things
8. Getting into fights
9. Teasing or bothering others

Please type the number that describes the most challenging behaviour for you to manage with @fields.survey_behave_name. You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,69b0b174-198a-4abf-a2b9-cf4bfb591f7c
Survey,Behaviour,,,"All children behave badly sometimes. Here are a list of typical behaviours that can be challenging for parents:

1. Crying a lot
2. Problems sleeping
3. Acting clingy
4. Whining for things
5. Bad tempered or moody
6. Problems eating
7. Stubborn or fussy
8. Naughty behaviour
9. Temper tantrums

Please type the number that describes the most challenging behaviour for you to manage with @fields.survey_behave_name. You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,8c3cb082-6537-4340-b447-d0209027a7b3
Survey,Behaviour,,,"All children behave badly sometimes. Here are a list of typical behaviours that can be challenging for mothers:

1. Refuse to obey instructions
2. Gets angry a lot
3. Rudeness, disrespectful behaviour
4. Irritable, frequent mood changes
5. Does not follow rules
6. Stubbornness
7. Breaking things
8. Getting into fights
9. Teasing or bothering others

Please type the number that describes the most challenging behaviour for you to manage with @fields.survey_behave_name. You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,92b32ad1-3006-4cb0-9ceb-a64c6bb84591
Survey,Behaviour,,,"All children behave badly sometimes. Here are a list of typical behaviours that can be challenging for mothers:

1. Crying a lot
2. Problems sleeping
3. Acting clingy
4. Whining for things
5. Bad tempered or moody
6. Problems eating
7. Stubborn or fussy
8. Naughty behaviour
9. Temper tantrums

Please type the number that describes the most challenging behaviour for you to manage with @fields.survey_behave_name. You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,94634447-7373-4910-9176-e6ca1a5950f9
Survey,Behaviour,,,"All children behave badly sometimes. Here are a list of typical behaviours that can be challenging for fathers:

1. Crying a lot
2. Problems sleeping
3. Acting clingy
4. Whining for things
5. Bad tempered or moody
6. Problems eating
7. Stubborn or fussy
8. Naughty behaviour
9. Temper tantrums

Please type the number that describes the most challenging behaviour for you to manage with @fields.survey_behave_name. You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,8a530c9b-3b5f-46b8-8645-0028924b7349
Survey,Behaviour,,,"All children behave badly sometimes. Here are a list of typical behaviours that can be challenging for mothers:

1. Refuse to obey instructions
2. Temper tantrums
3. Disrespectful behaviour
4. Whining for things
5. Hyperactivity, can't sit still
6. Hitting others
7. Breaking things
8. Getting into fights
9. Teasing or bothering others

Please type the number that describes the most challenging behaviour for you to manage with @fields.survey_behave_name. You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,fc4a1d3f-da1c-4925-ad62-c69fb60ec4ee
Survey,Behaviour,,,"All children behave badly sometimes. Here are a list of typical behaviours that can be challenging for fathers:

1. Refuse to obey instructions
2. Temper tantrums
3. Disrespectful behaviour
4. Whining for things
5. Hyperactivity, can't sit still
6. Hitting others
7. Breaking things
8. Getting into fights
9. Teasing or bothering others

Please type the number that describes the most challenging behaviour for you to manage with @fields.survey_behave_name. You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,d307f956-1935-4769-bc47-14ac8a0833a7
Survey,Behaviour,,,"All children behave badly sometimes. Here are a list of typical behaviours that can be challenging for parents:

1. Refuse to obey instructions
2. Temper tantrums
3. Disrespectful behaviour
4. Whining for things
5. Hyperactivity, can't sit still
6. Hitting others
7. Breaking things
8. Getting into fights
9. Teasing or bothering others

Please type the number that describes the most challenging behaviour for you to manage with @fields.survey_behave_name. You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,faa94e28-2cce-4dca-be6b-f4e27bf5aa83
Survey,Behaviour,,,"Sorry, I don't understand what you mean. Please type a number between 1 and 9.  You can also type ""N"" if you do not want to answer. ",,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,e1f724fc-ac55-4db3-b33f-ff72e181d80e
Survey,Behaviour,,,How challenging is this problem on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Behaviour,36a6e56b-04a9-4a8b-a27e-092decdadcad,ccfe4019-47fb-462e-9799-7c2e03a6dce3
