category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Emotions,Have you noticed and shared emotions with your child or teen recently? How did it make you feel?,Great,Neutral,Bad,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,0c7ae563-3e0a-4857-a39a-4c2e479ed3c8
Content,Positive,CheckIn,Emotions,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,6afec9fd-8851-4c9d-9624-10ae25e5fd47
Content,Positive,CheckIn,Emotions,"Amazing to hear it made you feel good, keep up the great work. Your child is learning so much from you!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,b6b32b21-103b-487b-be74-575205b221c7
Content,Positive,CheckIn,Emotions,"Noticing and sharing emotions can be difficult at first, but you and your child or teen will get used to it. Keep trying and you will see the positive change!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,6deb0a9c-ec87-4e09-a817-6752919e2efc
Content,Positive,CheckIn,Emotions,What was difficult for you about sharing emotions with your child or teen?,I am afraid my child or teen will think I am weak,I felt uncomfortable to name specific difficult emotions,My child or teen felt uncomfortable when I shared my emotions,"My child or teen asked many questions when I shared my emotions, which made me uncomfortable",I was too stressed or angry to try sharing my emotions – I prefer to be alone when I feel like that,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,a3f260b7-bd84-4006-9917-47585ff006c4
Content,Positive,CheckIn,Emotions,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,aef2655e-9573-42b7-b552-284fbda6c2ef
Content,Positive,CheckIn,Emotions,"Sharing emotions – especially the difficult ones – sets an important example for your child or teen! It actually makes everyone in the family stronger, because you can understand and support each other better. ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,37cad92e-3ff6-42fa-bb00-0338160fc459
Content,Positive,CheckIn,Emotions,"Starting a new thing is always difficult at first. Give yourselves some time to get used to it, and keep giving the good example by noticing and sharing emotions. Over time, your child or teen will learn to do the same – and they will feel even more loved and cared for.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,af18c79b-5842-408c-94c8-20c483b04d4e
Content,Positive,CheckIn,Emotions,"Sharing emotions is about explaining how you are feeling so your child or teen is aware and learns to do the same. You can choose how much detail you want to share about the situation. It’s up to you! You can also choose to answer questions later: “I am feeling angry/stressed now, can you please give me some time? We can talk about this more tonight”.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,752d1756-8169-4381-b067-ee661548d7b4
Content,Positive,CheckIn,Emotions,It’s okay to not want to share at that time. Find some time later on when you feel calmer to explain so that everyone can understand.  ,,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,f3f3611e-2a48-4c74-865b-d564cdbd660b
Content,Positive,CheckIn,Emotions,"Being specific is not rude or insensitive, it really helps others understand you clearly and prevents confusion in the family. Emotions like anger and stress are part of our lives. All we need to do when we feel angry and stressed is know how to handle it by taking a few deep breaths before responding. ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2c3681c4-281b-4c89-a216-f1c4c47e7a4c,a8cff892-519f-44b2-baa4-ccd9cf13eabd
