category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Instructions,How are you doing with giving your child or teen instructions?,Great,Neutral,Bad,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,64044d80-0e41-4dac-bf1d-c3b3b3b78390
Content,Positive,CheckIn,Instructions,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,c57f7aef-2f78-4f9f-bba4-293acd3f4c50
Content,Positive,CheckIn,Instructions,"Great to hear it went well, you are a star!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,4aa45129-64a7-4ced-93c2-5759b3010756
Content,Positive,CheckIn,Instructions,Sorry to hear it was difficult for you. Well done for trying!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,ac3335f9-f231-43cd-b1f7-0b0dc3768331
Content,Positive,CheckIn,Instructions,What was your main challenge?,My child or teen did not want to follow the instruction,I gave a negative instead of a positive instruction,I gave too many instructions at once,My child or teen could not do what I asked them,I forgot to praise my child or teen for following my instruction,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,a0f02ef8-bda4-44fa-9e63-21b6e06dbf17
Content,Positive,CheckIn,Instructions,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,e34251cd-d36f-417d-b8d8-98419788838e
Content,Positive,CheckIn,Instructions,"I know, our children need time to learn to follow instructions. Be patient, try again, and remember to praise them every time they follow an instruction!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,668c5c50-500a-421f-a1fa-9fbef7e9612e
Content,Positive,CheckIn,Instructions,"I know, it takes some time to get used to giving positive instructions – it’s really worth trying again! Think about behaviour you would love to see your teen do more, and think of positive ways to give that instruction!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,178890ba-7082-47d6-beee-68615a2355a3
Content,Positive,CheckIn,Instructions,"I know, it is hard to remember to give one instruction at a time. When we do it, our child is more likely to listen – so we can praise them even more!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,aff338f3-762a-4dba-a741-b180c9924526
Content,Positive,CheckIn,Instructions,"Sometimes we just expect our children to do what we want them. But when we praise them for it, they feel encouraged to listen again next time!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,861cd7b3-66e0-4483-98ca-9a71a6203b99
Content,Positive,CheckIn,Instructions,It is hard to remember to give realistic instructions. Try to make sure that your child or teen can physically do what you want them to do. Be specific!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,2f0ac8d2-8509-4c5a-86ac-05642c0f371f,e7616968-b88e-4d2e-80c4-f0f7305be1ea
