category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Rules,Did you manage to establish ONE rule or daily routine together with your child or teen?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,7f682e84-5d4a-4b81-9086-84ab7aa35bd9
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,96a426ee-a1a0-4856-a6ad-1cbf7b7cee19
Content,Positive,CheckIn,Rules,"Great to hear it this! Remember, the more we involve our children in setting rules, the more our children will be likely to follow them!

Did you have any challenges when trying to establish a rule or routine together?",Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,f78866ae-07a0-4e69-a6c5-ccb77b5ad0fb
Content,Positive,CheckIn,Rules,Sorry you did not manage to do this yet. Sit down with your child or teen and try again today - involving your children will make them want to follow the rule more often! ,,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,d24202af-00ef-4dcc-aded-7d6a671a3930
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,a14aa478-d92c-4edd-99f0-926ea797a368
Content,Positive,CheckIn,Rules,What was difficult for you about establishing a rule or routine with your child or teen?,My child or teen could not agree on one specific rule or routine,My children felt it was unfair that they have to follow the rule while I don’t have to follow it,I felt uncomfortable because I feel I should be the one establishing the rule not my child or teen,"My partner felt uncomfortable, because they feel they should be the one establishing the rule, not the child or teen",,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,db465cd2-5674-4995-923d-5cf65dccb82f
Content,Positive,CheckIn,Rules,Amazing! Consistent rules and routines help make your child or teen feel secure. They also keep them safe!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,2f080aff-c48d-423a-b6b3-b35df1a5d3eb
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,8721cba2-9188-4678-9fda-cd10f12be34c
Content,Positive,CheckIn,Rules,"It is always important when establishing rules and routines  as a family to consider the age of each child, so you can come up with age-appropriate routines. This is most important for bedtime, time to come home/play, household chores. ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,04fae64a-90b4-42b8-bf7a-f896fdbcd80d
Content,Positive,CheckIn,Rules,"We should always remember that children learn best from us. The more we follow the rules, they more they will follow the rules too. You can adjust the rule to make sure that it is realistic for everyone to follow it, considering their responsibilities (for example school or work activities).",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,ea58d006-9790-4c3a-b840-2eba002d815c
Content,Positive,CheckIn,Rules,"When we establish rules together with our children or teens, that helps the family to understand each other better. The rules will be more realistic and our children will be more willing and able to follow the rule.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,3a65847b-5957-4923-bea8-00241f2acde1
Content,Positive,CheckIn,Rules,"When we establish rules together with our children, that helps the family to understand each other better. The rules will be more realistic and our children will be more willing and able to follow the rule.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,d20e33e2-d29c-4b7d-95ff-e56d0535579c,925848e0-3af0-4c63-8dec-edfc61b85753
