category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Time,CheckIn,One on one time,Hi! Were you able to spend 5 minutes or more of One-on-One Time with your children today?,Yes,No,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,5820c5c8-5176-4f5c-b941-ee8b86005dd9
Content,Time,CheckIn,One on one time,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,9b8f977c-d8e1-40e6-9338-c7f89b79b4f7
Content,Time,CheckIn,One on one time,That's great! How did it go?,Great,Ok,Bad,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,b0660aba-8a89-48aa-a579-be13e9ad787b
Content,Time,CheckIn,One on one time,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,dea5d2de-fb3a-4fab-9773-c9aedf6554a0
Content,Time,CheckIn,One on one time,Good for you! One-on-One Time shows your children that they are important to you. It really makes a difference!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,df746f59-6c10-46cc-8d13-261b5c5eb183
Content,Time,CheckIn,One on one time,Well done! One-on-One with your children gives you a chance to learn more about your their interests and abilities. You are a star!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,0fbbdc8d-73bf-402c-9861-a8dee7bed2a9
Content,Time,CheckIn,One on one time,Wonderful! Spending One-on-One Time with your children may make them more willing to help out more often. You are doing great!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,72495f80-8929-4ac9-a313-0a5716ed9fc0
Content,Time,CheckIn,One on one time,Excellent job! One-on-One Time helps build a strong positive relationship between you and your children. Try to do it every day!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,fd31b61a-4211-4581-b596-c0465f0a67f3
Content,Time,CheckIn,One on one time,Thank you for making the effort to show your children that they are loved and valued. You deserve a gold star!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,413145f6-e078-4aea-b8a6-519b0bd74e2f
Content,Time,CheckIn,One on one time,Would you like some new activities to do with your children?,Yes,No,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,e8a2249a-c4f4-48e3-a88c-b14a25a555d5
Content,Time,CheckIn,One on one time,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,163b2e7f-f752-47ea-be61-85bf5d489444
Content,Time,CheckIn,One on one time,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,bc794ea8-af5f-4fca-a4c5-770432c9425c
Content,Time,CheckIn,One on one time,"That's okay! You can always type ""Help"" at anytime if you need an activity. Chat to you later!",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,063a49f7-fbff-47d6-8533-16030740ebbf,d443c2e4-a559-4a57-a3ba-c0ecda6616a0
