category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Help,Settings,Entry,,What would you like to change?,Personal information,User experience,Go back to the previous options,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,78af20e8-77d4-4d63-93b4-91107b7fc0f6
Help,Settings,Entry,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,c8254046-c68e-4841-b666-c2b290767576
Help,Settings,Entry,,"What would you like to change?
Type ""EXIT"" to stop receiving messages.",Message timing,Type of media content,Age group for tips,Language,Go back to the previous options,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,37cd017b-2f4c-4ae3-8a14-761ffb2781ff
Help,Settings,Entry,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,87a6c925-0651-40d6-986c-8160d2b24c31
Help,Settings,Entry,,Would you like to go back to tech support? ,Yes,No,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,15bb8034-f474-4190-9596-4de09b0b81ba
Help,Settings,Entry,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,8e896616-fc0e-4296-93a9-dd6d8fc81fb9
Help,Settings,Entry,,Would you like to go back to Help?,Yes,No,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,25310d52-290f-407b-9961-bf9653577918
Help,Settings,Entry,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,545264c3-3daf-453e-adff-54c9246e1496
Help,Settings,Entry,,"Ok, thanks. Chat to you later!",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,49d14e16-cf74-442b-8429-40f416a75682
Help,Settings,Change age group for tips,,The age group you are currently receiving parenting tips for is: Baby (0 to 23 months old).,,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,8b03389a-ed62-49ab-a90b-088258b0b5a2
Help,Settings,Change age group for tips,,The age group you are currently receiving parenting tips for is: Teenager (10 to 17 years).,,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,219cf1be-9837-448f-a816-ac824a583b24
Help,Settings,Change age group for tips,,The age group you are currently receiving parenting tips for is: Young child (2 to 9 years).,,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,b38bca44-9e8f-41d0-9d18-2543e24f3d56
Help,Settings,Change age group for tips,,Would you like to receive parenting tips for another age group? ,Yes,No,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,3dbfea57-4f01-417d-81a9-74887961a954
Help,Settings,Change age group for tips,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,5666c475-bb14-4dc7-ab1b-1e62f7aeb208
Help,Settings,Change age group for tips,,Which age group would you like to receive parenting tips for? ,Baby (0 to 23 months old),Young child (2 to 9 years),Teenager (10 to 17 years),,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,e6ee54de-320e-4c7c-939e-050a59881daf
Help,Settings,Change age group for tips,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,ebf42e26-7d84-411f-ab68-6cf2ea4f58bc
Help,Settings,Language,,"The language you are currently receiving messages in is ""English"".
Would you like to change it?",Yes,No,,,,,,,,,PLH - Help - Settings - Language,e13b423b-a16b-44c2-a0e7-0f29e18ed4cf,8dde2103-5363-444b-8362-7f982444277c
Help,Settings,Language,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Help - Settings - Language,e13b423b-a16b-44c2-a0e7-0f29e18ed4cf,b3627f66-fea9-4a2f-bfd2-1289156d142b
Help,Settings,Language,,Which language would you like?,,,,,,,,,,,PLH - Help - Settings - Language,e13b423b-a16b-44c2-a0e7-0f29e18ed4cf,e615cf96-ff52-4c1d-bf29-49583a0cf519
Help,Settings,Language,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Language,e13b423b-a16b-44c2-a0e7-0f29e18ed4cf,ebbdfdbb-75d0-4a73-b17b-12e5c3fb9b09
Help,Settings,Leave the program,,"Are you sure you do not want to get these messages? If you do not want to receive any more messages, please type ""STOP MESSAGES.""
If you made a mistake, please type ""back"" and choose another option.",,,,,,,,,,,PLH - Help - Settings - Leave the program,60861329-61ab-4836-9afa-fab172759f14,67f78b14-e915-4b1f-96e4-87ecd4cf43c0
Help,Settings,Leave the program,,Sorry I don't understand what you mean.,,,,,,,,,,,PLH - Help - Settings - Leave the program,60861329-61ab-4836-9afa-fab172759f14,493bbd94-dcb1-4ec7-b8af-5df381e19d3a
Help,Settings,Leave the program,,"Okay thanks! If you ever want to sign up for parenting messages, type ""MoreTips"". We are here to help!",,,,,,,,,,,PLH - Help - Settings - Leave the program,60861329-61ab-4836-9afa-fab172759f14,728ee07c-906f-4843-9641-59cfe91929c5
Help,Settings,Manage information,,Who would you like to change the information about?,Yourself,Your children,Go back to the previous options,,,,,,,,PLH - Help - Settings - Manage information,b0de85f8-22e4-43c6-a942-ab29edaab96a,364c158a-07e6-42c9-a68e-20c02f0f6455
Help,Settings,Manage information,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Manage information,b0de85f8-22e4-43c6-a942-ab29edaab96a,c764f18b-7d44-42bc-ab77-c7ff120fa5b7
Help,Settings,Manage information children,,You didn't tell us the age of your children. ,,,,,,,,,,,PLH - Help - Settings - Manage information children,3d4b512b-6b91-4e5e-ac3f-4959200435c7,eb47ad98-0267-47eb-bb6e-78e5e4800899
Help,Settings,Manage information children,,You have not selected an age group for receiving parenting tips yet.,,,,,,,,,,,PLH - Help - Settings - Manage information children,3d4b512b-6b91-4e5e-ac3f-4959200435c7,808bb4dd-e334-451e-9c86-3427bb4fa581
Help,Settings,Manage information children,,The age group you are currently receiving parenting tips for is: Baby (0 to 23 months old).,,,,,,,,,,,PLH - Help - Settings - Manage information children,3d4b512b-6b91-4e5e-ac3f-4959200435c7,e6bc2029-22fb-4b02-a378-e1fcb897664e
Help,Settings,Manage information children,,The age group you are currently receiving parenting tips for is: Teenager (10 to 17 years).,,,,,,,,,,,PLH - Help - Settings - Manage information children,3d4b512b-6b91-4e5e-ac3f-4959200435c7,93e6050f-a3dd-4242-8a0a-a03b784928ea
Help,Settings,Manage information children,,The age group you are currently receiving parenting tips for is: Young child (2 to 9 years).,,,,,,,,,,,PLH - Help - Settings - Manage information children,3d4b512b-6b91-4e5e-ac3f-4959200435c7,7d5e0396-3bb0-4268-93b1-726bbdbc0fea
Help,Settings,Manage information children,,What would you like to do?,Update the age of your children,Update the age group you are receiving tips for,Go back to the previous options,,,,,,,,PLH - Help - Settings - Manage information children,3d4b512b-6b91-4e5e-ac3f-4959200435c7,f78a0321-e6e2-46a4-8b3b-25dd7edd455f
Help,Settings,Manage information children,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Manage information children,3d4b512b-6b91-4e5e-ac3f-4959200435c7,81a8cfd6-b034-4592-8afc-b546bc9d80db
Help,Settings,Manage information children,,Which age group would you like to receive parenting tips for?,Baby (0 to 23 months old),Young child (2 to 9 years),Teenager (10 to 17 years),,,,,,,,PLH - Help - Settings - Manage information children,3d4b512b-6b91-4e5e-ac3f-4959200435c7,b0785959-52d1-4c3d-bb82-4ed0c1da47ce
Help,Settings,Manage information children,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Manage information children,3d4b512b-6b91-4e5e-ac3f-4959200435c7,63ede744-c45c-4c3f-9ccd-ee5d9cbd3cee
Internal,Print children age group string,,,You told us that you are a parent/caregiver of a baby (0 to 23 months old).,,,,,,,,,,,PLH - Internal - Print children age group string,97eee5b0-00d3-4d77-a110-9d26123ab16f,6fba7c30-7fec-4267-af06-041aae896b6d
