category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Supportive,Calm,,,Hi! How are you feeling? ,Great,Okay,Bad,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,42613b6c-3433-49af-970f-f776f8d4aeab
Supportive,Calm,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,9a58f704-0acc-4c4c-9cd4-6ea10891f615
Supportive,Calm,,,So good to hear that you are doing well. What a wonderful feeling!,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,696c4881-865d-49be-a79b-55433e31a98f
Supportive,Calm,,,Sometimes we're up. Sometimes we're down. And sometimes we are neither up nor down...and that's totally okay!,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,aa279d96-94ac-48dd-a633-fd75c1cf861b
Supportive,Calm,,,Sorry to hear that you are not having a good day. It is completely normal to be going through a difficult time now. Remember that you are not alone. Here is an activity that might also help...,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,40553f81-d9c3-4c27-af96-d9f0f29e34f6
Supportive,Calm,,,Here is something fun to help you let go of stress:,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,7e9dfbb3-cbb7-4af0-a37c-1ae8f0b64272
Supportive,Calm,,,Do your children ever make you feel like screaming? Give yourself a 10-second pause.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,309bff23-a3f9-4265-a0b0-d67a44aa98ec
Supportive,Calm,,,Have you only got 30 seconds? Let's take a quick pause together. It might be helpful. ,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,430506cc-d432-4b9a-8320-1e9e3694eb3a
Supportive,Calm,,,"Do you sometimes feel your feelings are too much?
Talk to someone. 
Talk to someone you trust. Talk to a friend. Talk to family. Talk to a plant.
Get your worries off your chest and then let them go. Even if it’s just for a moment. 
How do you feel now?
A joy shared is twice the joy. A problem shared is half the problem.",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,d193607c-11f7-48e2-89e1-2c4bc6aa9287
Supportive,Calm,,,"Choose a song that reflects what you need in this moment. Do you need a gentle song to soothe your tired soul or an upbeat song to help you shake some stress out?

Make a space and move your body to the music. Remember to breathe while you move. Let your breath and the movement go together.

Even a few minutes of movement can be enough to release stress and lift your mood!",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,078ea76d-de81-4418-b775-414bb60507bc
Supportive,Calm,,,Choose a song that reflects what you need.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,094234cd-1528-4e32-8f1b-67314c8942b0
Supportive,Calm,,,"Sit down, close your eyes and listen to your breath as it goes in and out. Notice how you feel. When you are ready open your eyes again.",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,95614fc2-cf27-4ada-81c4-f5bbf811a30b
Supportive,Calm,,,Breath in and out slowly 5 times. Then try responding in a calmer way.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,0b614ed2-e263-4683-a060-a0e4e844dbb6
Supportive,Calm,,,Five deep breaths.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,1eb2a233-36bc-4e80-b7f8-17b6231b4d36
Supportive,Calm,,,Listen to your breath.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,e2902ce8-73c9-4e98-ba64-3bd5abe9af27
Supportive,Calm,,,When feelings are too much.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,a5363e68-2eb7-4f86-b904-337f5f3760cc
Supportive,Calm,,,Millions of parents say this helps - A LOT.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,0d42b979-2c34-49ea-b1cf-ea210935e83a
Supportive,Calm,,,Try this whenever you are feeling stressed and you need a break to reconnect.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,e0ae0f25-db78-4287-ab88-51bee82efe66
Supportive,Calm,,,Here is a short relaxation activity for you:,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,4bf0a5c0-4fa2-4e11-aff0-96f51b8bb299
Supportive,Calm,,,Do you ever feel something so strongly that you want to run away from it? Here's a short activity that might help!,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,e736f260-9ac8-48f6-b914-766170c18af4
Supportive,Calm,,,This activity uses the magic power of three breaths to stay connected and relaxed.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,ca543d9a-691f-45dd-97dd-c76b673cd159
Supportive,Calm,,,Here's an activity to relax your body:,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,7e50130c-41e7-40fe-8fa3-997d198fc9f5
Supportive,Calm,,,Here is a quick relaxation activity...,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,39a172b1-a575-459a-934f-83fae2005363
Supportive,Calm,,,"Sit down and close your eyes.
How many sounds can you hear? Listen to the sounds inside and outside the room. Count them on your fingers.
After ten seconds, how many fingers do you have up? What sounds did you hear?
Try again for another ten seconds. Did you hear any new sounds? Did you hear any sounds inside your own body? Notice how you feel now.",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,02b1bb88-5e39-4385-9092-6f63f94c858c
Supportive,Calm,,,Breathe in to the count of three.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,d3f3c0e8-9511-4a4f-b4c1-3653a40feafb
Supportive,Calm,,,"Instead of moving away from the feeling, let’s move towards it for a moment.
It’s ok. Close your eyes if you feel comfortable. Take a deep breath.

Become curious. Where are you feeling it in your body? Is it hot or cold? Hard or soft? Tight or loose?
Ask yourself some questions. What is it telling me? What does it need? How can I be kind to myself in this moment?

If your mind starts to wander, it’s normal. Just bring it back to the feeling. Keep breathing and feeling.
Reassure yourself. It’s ok to feel. Feeling is healing!",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,32cc1074-1478-4114-9b5a-4331eb7b5ba1
Supportive,Calm,,,"Notice your connection with the ground beneath you.
What parts of your body touch the ground? What parts of your body don’t? 
Notice where it feels warm and where it feels cool.
Feel the ground underneath you supporting you. Let your body sink into the support of the ground. ",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,fb2b7c1a-1c54-4572-964a-839a65bb1009
Supportive,Calm,,,"Breathe in to the count of three. 1, 2, 3.
Breath out to the count of three. 1, 2, 3.
Breathe in to the count of three. 1, 2, 3.
Breath out to the count of three. 1, 2, 3.
Breathe in to the count of three. 1, 2, 3.
Breath out to the count of three. 1, 2, 3.",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,2bc8464f-75ce-4559-9cef-015557f33869
Supportive,Calm,,,"Sit comfortably and close your eyes if you can.
Imagine a golden ring scanning your body from your feet to your head. 
Pay attention as it moves up and down your body. Are there any areas that feel tense? Numb? Painful? 
Focus on those areas for a moment. Breathe in to the area and when you breathe out, try to let go of any tension or pain. 
Do this for a few breaths. 
Open your eyes. How does your body feel now?

Try this next time you find yourself lying in bed unable to sleep!",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,33483646-4369-41b4-8f00-d8f90332a217
Supportive,Calm,,,Listen to the sounds.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,0f5f3c06-339e-4467-ba45-253c874154a2
Supportive,Calm,,,Connection with the ground.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,0be6eaaf-9cfd-4579-8362-a30b8cb2091e
Supportive,Calm,,,How do you feel now? Do you feel any different? Deep breathing helps our whole body and mind to calm down. ,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,fafa76d4-da0f-47da-9f8d-de9ef0d2b697
Supportive,Calm,,, Notice how you feel now.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,4c5c3143-a0bd-4aeb-a584-cc110dea66ca
Supportive,Calm,,,Dealing with difficult feelings.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,1af711db-6341-451e-bc56-31cc07925f4b
Supportive,Calm,,,Body relaxation.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,53b5e157-b3e9-42a2-94ee-573e0ad39728
Supportive,Calm,,,It’s ok to feel. Feeling is healing!,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,a1568c9b-a82e-4b80-ba44-c172ff35c7ab
Supportive,Calm,,,Try this next time you find yourself lying in bed unable to sleep!,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,344061a7-066c-4bed-8e9f-7a4d223ad5d7
Supportive,Calm,,,"Let’s use the magic power of three to stay present and relax. At the end of a tough day, thinking of three things to be grateful for can help us find the courage to try again tomorrow.  ",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,3a925c1d-0baa-42b0-8bed-0bb3fac09526
Supportive,Calm,,,Here's a short relaxation activity to end the day:,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,9fa07d87-1dc7-486f-8d03-6af845f9b0ce
Supportive,Calm,,,"Let's take a moment to stop what you are doing and connect with your breath.  

What is one thing you can be grateful for right now?
What is one thing that brings you happiness?
What is one thing that you love?

They don't have to be big. Sometimes the small things in life count the most!",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,59e7282f-99f4-4e2f-8c1c-6b17240547d3
Supportive,Calm,,,"At the end of the day, take a minute to think about the day.  
Think about one positive or fun thing you did.
Praise yourself for one thing you did well today.
Think of one thing you can do differently tomorrow. 
Think of one thing that you are grateful for. 

You are a star!",,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,50aef5be-9209-42e7-a494-bc8d082dcee4
Supportive,Calm,,,Do you sometimes feel like you are getting everything wrong?  Here's a short activity that might help!,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,8e582f81-f187-4e2d-8849-0a6d363d6002
Supportive,Calm,,,The magic power of three.,,,,,,,,,,,PLH - Supportive - Calm,8adf0beb-24df-4563-a57a-95ed147fe629,91cb0f6d-09c5-44ac-bab4-fbdd76900ba9
