category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Survey,COVID19 Experience,,,"Hi! We are delighted that you have signed up for these messages. It shows that you care!

Can we ask you 2 quick questions about COVID-19 in your area?",Yes,No,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,a9fc9bbc-ac74-45b9-a220-798158e7bc1c
Survey,COVID19 Experience,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,efac8f3e-f189-4a09-8ed6-9f390295b4d2
Survey,COVID19 Experience,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,3c597979-55c9-45cc-b032-b5eb9f46d300
Survey,COVID19 Experience,,,Which is most like your experience?,Curfews,Non-essential shops closed,Non-essential production closed,Cancellation of recreational venues and closing of public places like parks,Stay-at-home orders and total movement controls,Social distancing and movement restrictions,No restrictions,Does not apply,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,45e4d43d-2d33-4555-a9f5-f27856d6305e
Survey,COVID19 Experience,,,Thanks! ,,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,bb2e8ef5-a713-4dd8-924f-c54b59abf208
Survey,COVID19 Experience,,,It is okay if this is not a good time. Chat later!,,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,50c7c2f5-5525-494c-9708-c669cf945737
Survey,COVID19 Experience,,,It is okay if this is not a good time. We will try again tomorrow. Chat later!,,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,ebc1d81e-6c23-425b-a65b-e9d2bd6f2740
Survey,COVID19 Experience,,,"How has COVID-19 affected your family? You can choose multiple options with a space in between each (e.g., 1 2 5):
1. Someone in my family has had COVID-19 symptoms (e.g., dry cough, fatigue, headache, high temperature, loss of smell or taste)
2. Someone in my family has died from COVID-19
3. My family has been experiencing financial stress due to COVID-19
4. My family has been experiencing emotional stress due to COVID-19
5. My family has not been negatively affected by COVID-19
6. Other
0. Prefer not to answer",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,dfbd720b-c424-4277-8f5a-9a5871f22058
Survey,COVID19 Experience,,,"Thanks so much for answering these questions. We really appreciate it especially since COVID-19 has been a very difficult time for many families. 

Remember that you are not alone and that we are here to help. Just type ""Help"" at anytime.",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,d7027b9c-931b-4bfc-bb16-6cb1d6056cdf
Survey,COVID19 Experience,,,Are your children currently going to school/daycare? ,Yes,No,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,d28a8df1-7734-4ee6-9e0d-917472ea9925
Survey,COVID19 Experience,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,e85cf381-8348-46c3-91e9-0dfb6d7f85ed
Survey,COVID19 Experience,,,It is normal to feel overwhelmed or stressed about your children's education during this time. Would you like to learn more about how to support your children with remote learning and returning to school?,Yes,No,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,612bdc4e-74a9-4b22-b89e-da1211458b8e
Survey,COVID19 Experience,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,e4bdaed2-dc91-4171-bf4b-fab55d1c79cc
Survey,COVID19 Experience,,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later!",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,b1be1db9-098a-41e8-b2d6-386013ccff6c
