category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Welcome,Entry,,,Hi! Thank you for signing up to receive these parenting tips. Please tell us which language you would like:,,,,,,,,,,,PLH - Welcome - Entry,b0718d9e-f048-473e-bb25-6a861d0d0b81,ad885830-8e86-4d05-9b5f-843f013060e9
Welcome,Entry,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Welcome - Entry,b0718d9e-f048-473e-bb25-6a861d0d0b81,0fa7fd44-698d-404b-af0a-de80b87a3402
Welcome,Entry,,,"Bringing up children and teenagers is hard. You are the best parent your children could have. 

Thank you for joining the 133 million parents who have used our resources developed by Parenting for Lifelong Health, WHO, and UNICEF.",,,,,,,,,,,PLH - Welcome - Entry,b0718d9e-f048-473e-bb25-6a861d0d0b81,f675e0cc-4c12-4a52-aa3a-4d64ed3f52a3
Welcome,Entry,,,"Your participation and any information you provide will be used anonymously by researchers so that we learn about how to better support families like yours. 

Type ""Yes"" if you agree with this. Type ""Exit"" if you do not want to participate. Click here for more information [insert link]",,,,,,,,,,,PLH - Welcome - Entry,b0718d9e-f048-473e-bb25-6a861d0d0b81,bb910fee-39e9-45cf-a6f6-2f40236cc8bf
Welcome,Entry,,,"I am sorry I did not understand. Please type ""Yes"" if you agree with this. Type ""Exit"" if you do not want to participate.",,,,,,,,,,,PLH - Welcome - Entry,b0718d9e-f048-473e-bb25-6a861d0d0b81,b437b809-bf31-477e-9b69-d9a77c61b50c
Welcome,Initial registration,,,These tips are for YOU.,,,,,,,,,,,PLH - Welcome - Initial registration,eda4370a-f05b-4419-a800-037e456b2c66,63fe4d5f-3b0d-4326-ab0c-1f79a4dc0006
Welcome,Initial registration,,,It looks like you are busy right now. Please type “GoBack” to receive the most recent messages again.,,,,,,,,,,,PLH - Welcome - Initial registration,eda4370a-f05b-4419-a800-037e456b2c66,025f4df9-eae8-4eea-b656-9814167ceb89
Welcome,Initial registration,Gender,,"Are you a WOMAN or MAN?

If you don't want to tell us, that's okay. Please type ""N"".",Woman,Man,,,,,,,,,PLH - Welcome - Initial registration - Gender,ac47332f-6ecf-468a-b44c-50402b03d970,a6bc8ed6-62b2-4a91-bbd9-b9e528fb937d
Welcome,Initial registration,Gender,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Welcome - Initial registration - Gender,ac47332f-6ecf-468a-b44c-50402b03d970,ea319b01-c665-47b4-a3c7-9595cbd72beb
Welcome,Initial registration,Age,,"Can you please tell us your age? Please reply with the number only. Example: 28

If you don't want to tell us your age, that's okay. Please type ""N"".",,,,,,,,,,,PLH - Welcome - Initial registration - Age,f1428e89-c0e2-48a9-b5d5-9fd840efad70,86e901f5-aa27-4568-9cfd-282a597cdb80
Welcome,Initial registration,Age,,Sorry I don't understand what you mean.,,,,,,,,,,,PLH - Welcome - Initial registration - Age,f1428e89-c0e2-48a9-b5d5-9fd840efad70,f55081ff-1922-4bb9-ad67-5671845fae89
Welcome,Initial registration,Age,,"This looks too young. 

Can you please tell us your age? Please reply with the number only. Example: 28
If you don't want to tell us your age, that's okay. Please type ""N"".",,,,,,,,,,,PLH - Welcome - Initial registration - Age,f1428e89-c0e2-48a9-b5d5-9fd840efad70,086e1c2d-81d5-4476-ba33-4324d4851f2b
