category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Crying,Hi! Are you having any challenges coping when you baby is crying?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,a962c676-046d-4c46-ad17-c94a60c690a4
Content,Positive,CheckIn,Crying,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,e345bb87-9fe1-457b-8d7f-f97d997a4cfb
Content,Positive,CheckIn,Crying,Great to hear that you are able to manage this. This isn't easy so praise yourself for coping!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,12b01edf-9f59-4153-b42f-015f85c2fb27
Content,Positive,CheckIn,Crying,Sorry to hear it has been challenging. What was difficult for you about managing your baby's crying?,I didn't stay calm,I got angry,I felt overwhelmed,My baby won't stop crying,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,7580594d-6480-4a9c-9690-c78ff0fe45e4
Content,Positive,CheckIn,Crying,Would you like to review the content?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,7f25fafc-3b66-4202-8218-2a7a809c9f55
Content,Positive,CheckIn,Crying,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,0f1d30ba-cb53-4b62-b5d0-03fd754a9408
Content,Positive,CheckIn,Crying,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,5b48146f-f201-44f1-add7-ae8ceee1c6f5
Content,Positive,CheckIn,Crying,"It is completely normal to experience this, it can be really hard to stay calm when your baby is crying but do not give up! Try to think of something that you can do that might help you, like taking a couple deep breaths. This can help reduce stress and clear your mind. ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,b3084a3f-ad39-42c6-a9df-f29bad115800
Content,Positive,CheckIn,Crying,"Sorry to hear that you are finding this challenging. If you are getting angry because your baby won’t stop crying, it’s okay to leave them on their back in a safe place and walk away for a bit and take a quick pause. Taking a pause will help you respond better. Check on your baby every 5-10 minutes.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,f0358961-6602-4901-96d0-6d31be49d98b
Content,Positive,CheckIn,Crying,"It is completely normal to feel overwhelmed as a parent. All parents feel this way. Try calling a family member or a friend. Sometimes just talking with someone is enough, but if you still feel overwhelmed, ask someone for help. Calling for help is a sign of strength. You can do this!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,1fca4e5c-49db-4157-96f4-eb7128e53ae0
Content,Positive,CheckIn,Crying,"It is completely normal to experience this, we know that this is not easy! Try swaddling, rocking or singing to your baby. You might also need feed your baby or change their diaper. Remember, you are not a bad parent if your baby continues to cry after you have done all you can to calm them. You are doing your best!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,63185d79-c547-4a31-8fe3-76b8c62032fb
Content,Positive,CheckIn,Crying,"That is okay! Remember you can access parenting content at anytime by typing ""Help"". Chat to you later! ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Crying,ac114a82-a440-4266-bb5a-67f2c32183f6,e9f2b655-17e9-47c5-aff9-e793fad96d1b
