category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Praise,Hi! Did you praise your child during one-on-one time or any other time during the day? ,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,3537087d-74f4-43e5-906a-3b2ab1dbd1a8
Content,Positive,CheckIn,Praise,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,67222197-bb32-49d2-8a01-e8528dc63598
Content,Positive,CheckIn,Praise,"It can be hard sometime to remember. Next time you spend one-on-one time, try and think of one thing you can praise them for. You can even say “thank you for spending time with me!”.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,76e7aa23-e208-4c11-89af-cff403102551
Content,Positive,CheckIn,Praise,"Well done, great job for remembering. How did your child or teen respond?",Surprised,Happy,My child did not like it,I don't know,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,5105f710-cd32-471a-8628-9edd06965691
Content,Positive,CheckIn,Praise,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,ebc2de9c-9113-4473-98c4-d6c3e6a31a90
Content,Positive,CheckIn,Praise,Would you like to review the content?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,2707a11f-6d52-4654-acbc-3c59e198ff3a
Content,Positive,CheckIn,Praise,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,786861f9-38c8-465c-a749-17140bb8a05f
Content,Positive,CheckIn,Praise,"Remember, it takes some time for your child or teen to get used to you praising them. The more time you spend with them, the better it will go!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,1407ca76-3e5e-4645-82d8-c0395886d29d
Content,Positive,CheckIn,Praise,"Well done for noticing how your child or teen felt, keep it up!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,b783b8f5-fb35-4986-a53d-7dd38fce348a
Content,Positive,CheckIn,Praise,"No problem, try to notice how they respond next time!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,24b6f32f-468e-49ad-8ef7-2bd197b730d8
Content,Positive,CheckIn,Praise,"It happens, just be patient. Make sure to keep spending time with your child or teen, so they will value your opinion more and more. When your praise is genuine, you will see the benefits soon!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,f12089bc-312e-4e62-8c21-b81d364f8f36
Content,Positive,CheckIn,Praise,"That is okay! Remember you can access parenting content at anytime by typing ""Help"". Chat to you later! ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Praise,2cd9314e-7d32-4700-bc85-b79d034d80cd,4eee3b82-e4f6-4c6c-a94f-272913b60644
