category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Routines,Hi! Have you been able to create a daily routine with your child these past few days?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,52258d13-b96c-4d41-aa53-b939ea674c70
Content,Positive,CheckIn,Routines,Hi! Have you been able to give your teen any responsibilities during the last week?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,21a05f8a-c81e-40b6-8ecc-c45309b1660a
Content,Positive,CheckIn,Routines,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,6a63775a-82bd-4efe-b383-d3978b9eec4f
Content,Positive,CheckIn,Routines,"That's okay. It can be hard sometimes to remember. Next time you have a task that your teen could do, you can give the job to them. Children often respond well when they are given the opportunity to become more responsible. Praise your teen whenever they complete their job, you can say “thank you for doing such a great job!”.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,fa9ee978-b6f9-4ce8-8a67-ba9d9e678602
Content,Positive,CheckIn,Routines,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,44f4a1f2-17cd-470a-b943-28625d57a1b2
Content,Positive,CheckIn,Routines,"Well done! As your teen shows more responsibility, you can also give them extra privileges. Try to share responsibilities equally amongst women/men and girls/boys. Praise your teen whenever they do their job!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,9d5bd84e-21c5-40d4-aec7-1743ce2c1003
Content,Positive,CheckIn,Routines,"Well done, you are doing a great job! Having regular routines allows your children to feel safe and secure. Remember that it is important to schedule free time for your child (and for you!). Keep it up! ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,ea783e28-e849-4734-aceb-e691baaa6815
Content,Positive,CheckIn,Routines,"It can be hard sometime to remember. Routines help your children feel safe and secure. Try to have regular mealtimes and bedtimes. Remember to schedule One-on-One time with your children, too!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,b201d405-b192-4f5f-85d4-ee629762090f
Content,Positive,CheckIn,Routines,Would you like to review the content?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,7eaed599-c3bb-46fa-abd5-b00952cf5ffb
Content,Positive,CheckIn,Routines,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,da3b6c0e-6c63-4bc3-957e-11016bd903b6
Content,Positive,CheckIn,Routines,"That is okay! Remember you can access parenting content at anytime by typing ""Help"". Chat to you later!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Routines,487e80f2-1639-44ee-9823-bec23f5deb79,c9063d7b-f816-49df-84ca-6439672d075a
