category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Help,Settings,Entry,,What would you like to do?,Change your personal information,Change the way you experience the messages,Stop receiving the messages,Go back to the previous options,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,910866f2-33b5-4f53-b29c-cee72b5d43d0
Help,Settings,Entry,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,27d19d64-4fcf-4479-b381-616a4211bf51
Help,Settings,Entry,,"What would you like to change?
Type ""EXIT"" to stop receiving messages.",Message timing,Type of media content,Age group for tips,Language,Go back to the previous options,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,57e6a62d-20c4-4bd4-9920-20fa35579a4f
Help,Settings,Entry,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,0634310b-efaf-47ce-994c-1d5ea7b9f51e
Help,Settings,Entry,,Would you like to go back to tech support? ,Yes,No,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,a8cfcf83-33d0-4361-8f02-b97801b6d682
Help,Settings,Entry,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,eda73df0-1bdf-4eaf-8a41-6611a226e5d2
Help,Settings,Entry,,Would you like to go back to Help?,Yes,No,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,7b254b9b-982b-4345-b265-47881a755abb
Help,Settings,Entry,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,e893634c-2f47-4b92-9be2-f0cd01c11422
Help,Settings,Entry,,"Ok, thanks. Chat to you later!",,,,,,,,,,,PLH - Help - Settings - Entry,aeae100d-bf65-4f7f-a1bf-3b57c2c68497,e148ff15-6eda-48bc-ab87-d0bf5654d73c
Help,Settings,Change age group for tips,,The age group you are currently receiving parenting tips for is: Baby (0 to 23 months old).,,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,aef47869-a554-4e8b-92d4-7ab07b19b005
Help,Settings,Change age group for tips,,The age group you are currently receiving parenting tips for is: Teenager (10 to 17 years).,,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,53c7e70a-de2c-4692-b9e6-c207d94b9ba8
Help,Settings,Change age group for tips,,The age group you are currently receiving parenting tips for is: Young child (2 to 9 years).,,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,934a736f-3a6b-4a4c-979f-3f8100d423cc
Help,Settings,Change age group for tips,,Would you like to receive parenting tips for another age group? ,Yes,No,,,,,,,,,PLH - Help - Settings - Change age group for tips,8e81de48-c05c-4b46-bc08-610c8e3ba2e9,b5ce30f8-f045-4619-a738-ad065538fd1a
