category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Safeguarding,SOS,,,It looks like you are facing an emergency. Can you please tell us what kind of assistance you require?,Police,Medical services,Fire department,Mental health services,Violence prevention hotline,Suicide prevention hotline,Family counselling services,Education support for your child,COVID-19 Support,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,b97622ce-dd7f-41ba-978b-5b4797ac6e6c
Safeguarding,SOS,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,74130aa7-7b3f-402b-b179-f03ead480717
Safeguarding,SOS,,,##police referrals##,,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,43e54437-881a-4b63-a709-7e3ffcdb534b
Safeguarding,SOS,,,##medical services referrals##,,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,6e896fff-213e-40f4-a018-979aac9a0d0f
Safeguarding,SOS,,,##fire department referrals##,,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,8c669169-970e-4fed-a5b9-ac74fa5d2225
Safeguarding,SOS,,,##violence referrals##,,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,c981bd9c-e142-4260-a06f-1117963d9154
Safeguarding,SOS,,,##mental health referrals##,,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,8126bdb5-9d75-46f2-9a86-833f0639f2ee
Safeguarding,SOS,,,##suicide referrals##,,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,1e265861-39bc-42a9-a3b4-2c1578f5923a
Safeguarding,SOS,,,##education referrals##,,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,a3cba741-23c1-4f54-9908-f536013cb8bd
Safeguarding,SOS,,,##family referrals##,,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,abde1d09-bbe4-45e2-b185-a82d2b92e36f
Safeguarding,SOS,,,"Type ""SOS"" at any time if you would like the details of any other emergency service or hotline. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - SOS,4594b367-bf49-4544-8e32-6362e64e7214,8d2fee20-3bb2-45ce-b12a-cea2c03c441d
Safeguarding,WFR interaction,,,Would you like to go back to the previous messages?,Yes,No,,,,,,,,,PLH - Safeguarding - WFR interaction,3aa013de-3b69-482c-bbc9-acd8d23bae55,41917ec2-494e-414f-8693-c1aba0af6838
Safeguarding,WFR interaction,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Safeguarding - WFR interaction,3aa013de-3b69-482c-bbc9-acd8d23bae55,a69cc60c-7095-4e78-9397-4f928f19597f
Safeguarding,WFR interaction,,,"That's okay. Remember you can always type ""Help"" if you ever need extra support. Chat later!",,,,,,,,,,,PLH - Safeguarding - WFR interaction,3aa013de-3b69-482c-bbc9-acd8d23bae55,7a6214bb-e4e3-4f4f-86d7-1d027078e0df
Safeguarding,Generic,Entry,,Are you currently facing an emergency?,Yes,No,,,,,,,,,PLH - Safeguarding - Generic - Entry,24ebf343-708d-4c9e-bf43-768d6ee601aa,7c836572-50ea-4e20-8ff7-ec214ee5768b
Safeguarding,Generic,Entry,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Safeguarding - Generic - Entry,24ebf343-708d-4c9e-bf43-768d6ee601aa,8d215bf2-7419-4bca-a0d5-6b3e325527f2
Safeguarding,Generic,Entry,,"Type ""SOS"" at any time if you would like the details of any other emergency service or hotline. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Generic - Entry,24ebf343-708d-4c9e-bf43-768d6ee601aa,c0c16dc5-45a5-4e9c-b7c5-33f0a11d126b
Safeguarding,Generic,Referrals,,Here are the contact details of your local emergency services:,,,,,,,,,,,PLH - Safeguarding - Generic - Referrals,3ceaa5d3-226f-4d05-96c1-b0cbc3b9f10b,d861488c-c51b-43e2-b833-eafff390ec8c
Safeguarding,Generic,Referrals,,##REFERRALS##,,,,,,,,,,,PLH - Safeguarding - Generic - Referrals,3ceaa5d3-226f-4d05-96c1-b0cbc3b9f10b,9adff497-59e6-4202-8eaf-3b93cc8d3052
Safeguarding,Generic,Referrals,,You should be proud of yourself for exploring ways to get help for you and your family.,,,,,,,,,,,PLH - Safeguarding - Generic - Referrals,3ceaa5d3-226f-4d05-96c1-b0cbc3b9f10b,b407ea54-d9e9-4c82-b4f1-c9828a1a7ec2
Safeguarding,Generic,Referrals,,"Type ""SOS"" at any time if you would like the details of any other emergency service or hotline. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Generic - Referrals,3ceaa5d3-226f-4d05-96c1-b0cbc3b9f10b,57b2ceed-a513-4f41-97c9-6601b168d355
Safeguarding,Health,Entry,,Are you currently experiencing a health issue?,Yes,No,,,,,,,,,PLH - Safeguarding - Health - Entry,cd7dfafc-c66e-41d8-aabe-c9e879c72073,4a2a61ea-cc99-47d6-a4fe-8f50df9ac93b
Safeguarding,Health,Entry,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Safeguarding - Health - Entry,cd7dfafc-c66e-41d8-aabe-c9e879c72073,281fdde4-365f-4ea0-9e9b-0deacfe3c4f9
Safeguarding,Health,Entry,,"Type ""SOS"" at any time if you would like the details of emergency services or other hotlines. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Health - Entry,cd7dfafc-c66e-41d8-aabe-c9e879c72073,93f5f0bd-ec29-4ff3-a751-32514ad26319
Safeguarding,Health,Referrals,,Here are the contact details of your local medical services:,,,,,,,,,,,PLH - Safeguarding - Health - Referrals,da186195-7e59-42dc-9f32-edbe46127da4,56752805-2096-4b33-aa6e-11cde173fa2a
Safeguarding,Health,Referrals,,##REFERRALS##,,,,,,,,,,,PLH - Safeguarding - Health - Referrals,da186195-7e59-42dc-9f32-edbe46127da4,264a8a9b-f242-4946-8075-99aa4b5ac167
Safeguarding,Health,Referrals,,You should be proud of yourself for exploring ways to get help for you and your family.,,,,,,,,,,,PLH - Safeguarding - Health - Referrals,da186195-7e59-42dc-9f32-edbe46127da4,4cc21907-302c-4f7c-a07a-966a0c93910e
Safeguarding,Health,Referrals,,"Type ""SOS"" at any time if you would like the details of any other emergency service or hotline. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Health - Referrals,da186195-7e59-42dc-9f32-edbe46127da4,36c1658c-38de-462c-b6b4-a3e6056a1766
Safeguarding,Mental health,Entry,,Do you need some support with an emotional issue?,Yes,No,,,,,,,,,PLH - Safeguarding - Mental health - Entry,e21a4f25-190c-4fc1-ad54-cbdca2ada937,8a601763-9f7e-42d6-bf65-c53320373bba
Safeguarding,Mental health,Entry,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Safeguarding - Mental health - Entry,e21a4f25-190c-4fc1-ad54-cbdca2ada937,0e4d161b-9c1e-4a41-b13f-4bdf70da60c0
Safeguarding,Mental health,Entry,,"Type ""SOS"" at any time if you would like the details of emergency services or other hotlines. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Mental health - Entry,e21a4f25-190c-4fc1-ad54-cbdca2ada937,fbf1c9f7-e703-465e-91f5-d332253e8859
Safeguarding,Mental health,Referrals,,"If you ever feel like talking privately to a trained professional, you can call:",,,,,,,,,,,PLH - Safeguarding - Mental health - Referrals,14757b5f-d523-4772-8318-62772b3752ae,9618dbcf-6ebd-408c-bc35-f3d6e61c8272
Safeguarding,Mental health,Referrals,,##REFERRALS##,,,,,,,,,,,PLH - Safeguarding - Mental health - Referrals,14757b5f-d523-4772-8318-62772b3752ae,706a4ea9-26b6-42a1-8177-65eaf8d31da7
Safeguarding,Mental health,Referrals,,You should be proud of yourself for exploring ways to get help for you and your family.,,,,,,,,,,,PLH - Safeguarding - Mental health - Referrals,14757b5f-d523-4772-8318-62772b3752ae,6c58b9f6-f80c-4859-abef-809d3a97cbad
Safeguarding,Mental health,Referrals,,"Type ""SOS"" at any time if you would like the details of any other emergency service or hotline. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Mental health - Referrals,14757b5f-d523-4772-8318-62772b3752ae,f07b59a2-ba84-49a0-a7c9-8f06844c853a
Safeguarding,Natural disasters,Entry,,Do you need some urgent help?,Yes,No,,,,,,,,,PLH - Safeguarding - Natural disasters - Entry,d383d542-2e28-4ed3-a9e6-358be3d4732d,e651990d-7d05-4cbd-987b-a3a169c80b51
Safeguarding,Natural disasters,Entry,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Safeguarding - Natural disasters - Entry,d383d542-2e28-4ed3-a9e6-358be3d4732d,e4d19202-1210-4b58-a07a-037f4a2e4dfc
Safeguarding,Natural disasters,Entry,,"Type ""SOS"" at any time if you would like the details of emergency services or other hotlines. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Natural disasters - Entry,d383d542-2e28-4ed3-a9e6-358be3d4732d,1f7368c8-6050-46ef-813b-8f8df2589385
Safeguarding,Natural disasters,Referrals,,Here are the contact details of your local emergency services:,,,,,,,,,,,PLH - Safeguarding - Natural disasters - Referrals,14c4df09-22d4-493e-81bb-04c67b44f0b9,98a9bca7-8241-4de9-9d67-fa58fbc5c24b
Safeguarding,Natural disasters,Referrals,,##REFERRALS##,,,,,,,,,,,PLH - Safeguarding - Natural disasters - Referrals,14c4df09-22d4-493e-81bb-04c67b44f0b9,6db0ba32-d724-41b1-9a4f-fb06ceabdc18
Safeguarding,Natural disasters,Referrals,,You should be proud of yourself for exploring ways to get help for you and your family.,,,,,,,,,,,PLH - Safeguarding - Natural disasters - Referrals,14c4df09-22d4-493e-81bb-04c67b44f0b9,331352ba-fa38-4a70-9a4b-d14f4fd2e851
Safeguarding,Natural disasters,Referrals,,"Type ""SOS"" at any time if you would like the details of any other emergency service or hotline. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Natural disasters - Referrals,14c4df09-22d4-493e-81bb-04c67b44f0b9,aed092fe-2ded-4e70-8697-1789d7b11893
Safeguarding,Violence,Entry,,Are you experiencing an unsafe situation?,Yes,No,,,,,,,,,PLH - Safeguarding - Violence - Entry,973dec27-6298-489b-9d3d-4947c74052db,4686892b-f521-4e4c-b161-78dafe46c431
Safeguarding,Violence,Entry,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Safeguarding - Violence - Entry,973dec27-6298-489b-9d3d-4947c74052db,8dddcc8b-23da-41f5-9160-8fef781b39d2
Safeguarding,Violence,Entry,,"Type ""SOS"" at any time if you would like the details of emergency services or other hotlines. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Violence - Entry,973dec27-6298-489b-9d3d-4947c74052db,2db839d3-2781-48fa-bca5-f022cc69fcb7
Safeguarding,Violence,Referrals,,"If you ever feel like talking privately to a trained professional, you can call:",,,,,,,,,,,PLH - Safeguarding - Violence - Referrals,99ac7045-ddfd-4875-9685-44545deb903b,d6522bd9-85b1-4e55-9b39-3dfb68ee118c
Safeguarding,Violence,Referrals,,##REFERRALS##,,,,,,,,,,,PLH - Safeguarding - Violence - Referrals,99ac7045-ddfd-4875-9685-44545deb903b,c2226680-d55a-4283-804d-2362c42ca6a0
Safeguarding,Violence,Referrals,,You should be proud of yourself for exploring ways to get help for you and your family.,,,,,,,,,,,PLH - Safeguarding - Violence - Referrals,99ac7045-ddfd-4875-9685-44545deb903b,964523ac-df81-4750-8fd9-cc131b9ed99d
Safeguarding,Violence,Referrals,,"Type ""SOS"" at any time if you would like the details of any other emergency service or hotline. Remember everything you say will be completely private!",,,,,,,,,,,PLH - Safeguarding - Violence - Referrals,99ac7045-ddfd-4875-9685-44545deb903b,85de7a51-b0e4-431f-a06d-fa993858a840
