category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Survey,COVID19 Experience,,,"Hi! We are delighted that you have signed up for these messages. It shows that you care!

Can we ask you 2 quick questions about COVID-19 in your area?",Yes,No,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,19ad8d24-fa27-4c4b-a714-3b9b6ecfeaaf
Survey,COVID19 Experience,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,369ae7af-8a09-48ba-b16c-3c637f4c1461
Survey,COVID19 Experience,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,16896e95-b575-4a48-859d-1294b9ccccaa
Survey,COVID19 Experience,,,Which is most like your experience?,Curfews,Non-essential shops closed,Non-essential production closed,Cancellation of recreational venues and closing of public places like parks,Stay-at-home orders and total movement controls,Social distancing and movement restrictions,No restrictions,Does not apply,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,eb71286d-d832-42dd-8f2a-4cb45ceaf694
Survey,COVID19 Experience,,,Thanks! ,,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,8981ab82-df5d-448a-8945-5da3c9940cc6
Survey,COVID19 Experience,,,It is okay if this is not a good time. Chat later!,,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,abb64c60-40f8-4a37-b52b-c79dc6a3a862
Survey,COVID19 Experience,,,It is okay if this is not a good time. We will try again tomorrow. Chat later!,,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,a9dbb021-1cfe-4a72-9f08-be9936ebf006
Survey,COVID19 Experience,,,"How has COVID-19 affected your family? You can choose multiple options with a space in between each (e.g., 1 2 5):
1. Someone in my family has had COVID-19 symptoms (e.g., dry cough, fatigue, headache, high temperature, loss of smell or taste)
2. Someone in my family has died from COVID-19
3. My family has been experiencing financial stress due to COVID-19
4. My family has been experiencing emotional stress due to COVID-19
5. My family has not been negatively affected by COVID-19
6. Other
0. Prefer not to answer",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,7a52436f-d68a-44be-ae39-93d7db8b096c
Survey,COVID19 Experience,,,"Thanks so much for answering these questions. We really appreciate it especially since COVID-19 has been a very difficult time for many families. 

Remember that you are not alone and that we are here to help. Just type ""Help"" at anytime.",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,e02064a5-86c0-41ef-b826-6e6cb762d291
Survey,COVID19 Experience,,,Are your children currently going to school/daycare? ,Yes,No,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,e954b3f1-37d1-467d-a04b-dcae03745c24
Survey,COVID19 Experience,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,fbe2a2fc-43ed-4023-b42c-d9f8045538dc
Survey,COVID19 Experience,,,It is normal to feel overwhelmed or stressed about your children's education during this time. Would you like to learn more about how to support your children with remote learning and returning to school?,Yes,No,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,0612f5ab-fb21-4b03-ae26-9a7b023ecf70
Survey,COVID19 Experience,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,49f61720-f136-4a52-b611-43b75727b119
Survey,COVID19 Experience,,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later!",,,,,,,,,,,PLH - Survey - COVID19 Experience,584acbdb-6769-447c-9d32-82826acec5ee,fdc25e8b-6d83-4b97-b0e0-13a2851e1037
